trade_id,ticker,entry_date,exit_date,score,pnl_pct,capital,exit_value,closed_date,Year
382,COST,2021-12-01,2021-12-01,5,-0.02,2088.451476781265,2046.6824472456394,2021-12-02,2021
384,BLK,2021-12-01,2021-12-01,4,-0.02,2088.451476781265,2046.6824472456394,2021-12-02,2021
380,PLD,2021-11-29,2021-12-03,4,0.04,2093.719721501782,2177.468510361853,2021-12-03,2021
383,NEE,2021-12-01,2021-12-07,5,0.04,2088.451476781265,2171.9895358525155,2021-12-07,2021
385,MSFT,2021-12-15,2021-12-17,4,-0.02,2105.201234553279,2063.0972098622133,2021-12-17,2021
387,AVGO,2021-12-17,2021-12-20,4,0.04,2096.7804296150657,2180.6516467996685,2021-12-20,2021
391,CVX,2021-12-20,2021-12-22,4,0.04,2113.554673051986,2198.0968599740654,2021-12-22,2021
386,AAPL,2021-12-17,2021-12-23,5,0.04,2096.7804296150657,2180.6516467996685,2021-12-23,2021
388,MSFT,2021-12-17,2021-12-23,4,0.04,2096.7804296150657,2180.6516467996685,2021-12-23,2021
389,JNJ,2021-12-20,2021-12-28,5,0.0151362787864601,2113.5546730519864,2145.546025813727,2021-12-28,2021
390,PEP,2021-12-20,2021-12-28,5,0.0311080989843399,2113.5546730519864,2179.303341030102,2021-12-28,2021
392,PFE,2021-12-22,2021-12-28,4,-0.02,2130.4631104364016,2087.8538482276736,2021-12-28,2021
393,AMT,2022-01-04,2022-01-05,5,-0.02,2175.0377490164683,2131.536994036139,2022-01-05,2022
394,PLD,2022-01-04,2022-01-04,5,-0.02,2175.0377490164683,2131.536994036139,2022-01-05,2022
395,UNH,2022-01-05,2022-01-06,5,-0.02,2157.6374470243363,2114.4846980838497,2022-01-06,2022
396,AMD,2022-01-05,2022-01-05,4,-0.0200000000000001,2157.6374470243363,2114.4846980838493,2022-01-06,2022
397,PLD,2022-01-05,2022-01-05,4,-0.02,2157.6374470243363,2114.4846980838497,2022-01-06,2022
398,COST,2022-01-06,2022-01-07,4,-0.02,2131.7457976600444,2089.1108817068434,2022-01-07,2022
399,MS,2022-01-06,2022-01-06,4,-0.02,2131.745797660045,2089.110881706844,2022-01-07,2022
400,LOW,2022-01-10,2022-01-10,4,-0.02,2114.691831278764,2072.3979946531886,2022-01-11,2022
402,V,2022-01-11,2022-01-13,4,0.04,2106.233063953649,2190.482386511795,2022-01-13,2022
401,UPS,2022-01-11,2022-01-14,5,-0.02,2106.233063953649,2064.108402674576,2022-01-14,2022
403,MS,2022-01-13,2022-01-14,5,-0.02,2123.0829284652787,2080.621269895973,2022-01-14,2022
404,BAC,2022-01-19,2022-01-19,4,-0.02,2106.165664495603,2064.042351205691,2022-01-20,2022
406,BA,2022-01-20,2022-01-21,5,-0.02,2097.741001837621,2055.7861818008682,2022-01-21,2022
407,CAT,2022-01-20,2022-01-20,5,-0.02,2097.7410018376204,2055.786181800868,2022-01-21,2022
408,GE,2022-01-20,2022-01-20,4,-0.02,2097.741001837621,2055.7861818008682,2022-01-21,2022
409,CAT,2022-01-21,2022-01-21,4,-0.0200000000000001,2072.5681098155687,2031.116747619257,2022-01-22,2022
410,COP,2022-01-24,2022-01-24,5,-0.02,2064.2778373763063,2022.99228062878,2022-01-25,2022
