Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Allocation,PnL,Return_pct,Holding_Days,Exit_Reason,Exit_Year
TSLA,2023-11-20,2023-11-27,234.0399932861328,236.0800018310547,19.9174510408675,4661.480107881509,40.63177031643279,0.8716495485572073,7,TIME,2023
TSLA,2023-11-27,2023-12-04,236.88999938964844,235.5800018310547,19.71212999272289,4669.606461944796,-25.82284216514962,-0.552998253184589,7,TIME,2023
AMD,2023-12-12,2023-12-18,132.25,138.89999389648438,35.26988199252753,4664.441893511766,234.54449998003224,5.028350772388945,6,TIME,2023
TSLA,2023-12-15,2023-12-20,251.2100067138672,247.13999938964844,18.761650259321563,4713.114287607398,-76.36005396986937,-1.6201613054588893,5,TIME,2023
AMD,2023-12-18,2023-12-26,139.14999389648438,143.41000366210938,33.88153438108117,4714.61530233097,144.33566733776496,3.0614516367094335,8,TIME,2023
AMD,2023-12-26,2024-01-02,140.07000732421875,138.5800018310547,33.73274554947771,4724.945916181351,-50.26197616822737,-1.0637577034712131,7,TIME,2024
AMD,2024-01-16,2024-01-22,150.36000061035156,168.17999267578125,31.357365667788564,4714.893520947706,558.7880073927695,11.851550939806831,6,TIME,2024
AMD,2024-01-22,2024-01-29,174.38999938964844,177.8300018310547,27.677338949017532,4826.65112242626,95.2101135562486,1.9725915783278758,7,TIME,2024
AMD,2024-01-29,2024-02-05,178.77000427246094,174.22999572753906,27.105739382051222,4845.693145137509,-123.06028841093793,-2.5395807106445623,7,TIME,2024
META,2024-02-06,2024-02-12,459.9608117036845,464.818115234375,10.481503999434532,4821.081087455323,50.91184638339996,1.0560255150214193,6,TIME,2024
TSLA,2024-02-09,2024-02-14,190.17999267578125,188.7100067138672,25.395005096693957,4829.621883290684,-37.33030099487619,-0.772944588561475,5,TIME,2024
META,2024-02-12,2024-02-20,464.11430441271233,467.6434020996094,10.387207463347119,4820.8515666418825,36.65746983221805,0.7603940782137109,8,TIME,2024
