Window,Train_Start,Train_End,Test_Start,Test_End,Strategy,Horizon_Days,N,Selection_pct,Mean_Return,Median_Return,Win_Rate,Baseline_Mean_Return,Excess_vs_Baseline,ATR_Q80_Train,Return10_Q80_Train
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,RETURN10_Q80,10,2496,21.157921505467492,-0.0011145898059865278,0.0039083374663412,0.5236378205128205,-0.002264109933698092,0.0011495201277115644,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,ATR_RETURN10_Q80,1,994,8.425870984148512,0.0003325890895418468,0.00039987193802719996,0.5050301810865191,2.1387587392342835e-05,0.000311201502149504,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,ATR_RETURN10_Q80,3,994,8.425870984148512,-0.00033136921045334744,0.0023028285614763,0.5241448692152918,-0.0007464138787814467,0.0004150446683280993,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,ATR_RETURN10_Q80,5,994,8.425870984148512,0.00028682758909151626,0.0037731645258164,0.5352112676056338,-0.0013217903805528806,0.001608617969644397,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,ATR_RETURN10_Q80,10,994,8.425870984148512,0.0015918285221581722,0.0045144884777724,0.5261569416498993,-0.002264109933698092,0.0038559384558562644,0.032140927658263777,0.050548994091881086
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,BASELINE,1,11750,100.0,0.0008538834710148548,0.00074613454472825,0.5262978723404256,0.0008538834710148548,0.0,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,BASELINE,3,11750,100.0,0.00295544176103024,0.0020971416547141504,0.5382127659574468,0.00295544176103024,0.0,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,BASELINE,5,11750,100.0,0.0049586532785191205,0.0031903161283103002,0.5457021276595745,0.0049586532785191205,0.0,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,BASELINE,10,11750,100.0,0.00970825674240257,0.0073331453819528,0.5665531914893617,0.00970825674240257,0.0,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,ATR_Q80,1,1029,8.757446808510638,0.003224706722350948,0.0021022937637587,0.5461613216715258,0.0008538834710148548,0.002370823251336093,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,ATR_Q80,3,1029,8.757446808510638,0.010954204771990016,0.0088631676586312,0.5937803692905733,0.00295544176103024,0.007998763010959776,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,ATR_Q80,5,1029,8.757446808510638,0.018019178720001746,0.0129641705589176,0.6005830903790087,0.0049586532785191205,0.013060525441482625,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,ATR_Q80,10,1029,8.757446808510638,0.03477021832436246,0.0296806911056917,0.641399416909621,0.00970825674240257,0.02506196158195989,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,RETURN10_Q80,1,2161,18.391489361702128,0.002306420723220916,0.0013029262861601,0.5414160111059695,0.0008538834710148548,0.001452537252206061,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,RETURN10_Q80,3,2161,18.391489361702128,0.007117973202758083,0.0041868871613977,0.5728829245719574,0.00295544176103024,0.004162531441727843,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,RETURN10_Q80,5,2161,18.391489361702128,0.011528925193826589,0.0075311230237016,0.5923183711244794,0.0049586532785191205,0.006570271915307469,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,RETURN10_Q80,10,2161,18.391489361702128,0.019802774912756196,0.0126214933280293,0.6034243405830634,0.00970825674240257,0.010094518170353626,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,ATR_RETURN10_Q80,1,399,3.3957446808510636,0.0052345735769156005,0.0050178958640805,0.581453634085213,0.0008538834710148548,0.004380690105900746,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,ATR_RETURN10_Q80,3,399,3.3957446808510636,0.01625219990759515,0.0129668926087866,0.6390977443609023,0.00295544176103024,0.01329675814656491,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,ATR_RETURN10_Q80,5,399,3.3957446808510636,0.02759369813356186,0.0189408035398799,0.6516290726817042,0.0049586532785191205,0.022635044855042738,0.033575298654529,0.0521360871522922
W2,2019-01-01,2022-12-31,2023-01-01,2023-12-31,ATR_RETURN10_Q80,10,399,3.3957446808510636,0.048366160047322186,0.0380320829503677,0.6716791979949874,0.00970825674240257,0.03865790330491962,0.033575298654529,0.0521360871522922
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,BASELINE,1,11844,100.0,9.423357150878348e-06,0.00028893394107734995,0.5100472813238771,9.423357150878348e-06,0.0,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,BASELINE,3,11844,100.0,0.001855306384557946,0.0017760873976971,0.5306484295845998,0.001855306384557946,0.0,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,BASELINE,5,11844,100.0,0.0036171874834259542,0.00325152542737475,0.5450861195542046,0.0036171874834259542,0.0,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,BASELINE,10,11844,100.0,0.007841879294721127,0.00641838018028525,0.5556399864910503,0.007841879294721127,0.0,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,ATR_Q80,1,1090,9.202971968929416,-0.0001089451697559421,0.0003429031067384,0.5082568807339449,9.423357150878348e-06,-0.00011836852690682045,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,ATR_Q80,3,1090,9.202971968929416,0.0042478853679768155,0.0028798322897758003,0.5311926605504587,0.001855306384557946,0.0023925789834188696,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,ATR_Q80,5,1090,9.202971968929416,0.008848739507111295,0.00765417802603235,0.5596330275229358,0.0036171874834259542,0.005231552023685341,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,ATR_Q80,10,1090,9.202971968929416,0.020405412906618826,0.01653838885127885,0.5614678899082569,0.007841879294721127,0.0125635336118977,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,RETURN10_Q80,1,1926,16.261398176291795,-0.0006109457538832642,-0.0004668852235571,0.4833852544132918,9.423357150878348e-06,-0.0006203691110341426,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,RETURN10_Q80,3,1926,16.261398176291795,0.0018244915021510542,0.00148835977648715,0.5254413291796469,0.001855306384557946,-3.08148824068918e-05,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,RETURN10_Q80,5,1926,16.261398176291795,0.003968448198018667,0.0044796923764260504,0.5586708203530634,0.0036171874834259542,0.00035126071459271263,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,RETURN10_Q80,10,1926,16.261398176291795,0.007866253955727102,0.007520870492813501,0.5659397715472482,0.007841879294721127,2.4374661005974532e-05,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,ATR_RETURN10_Q80,1,327,2.7608915906788245,-0.0008072887101559971,-0.0017452656538439,0.4801223241590214,9.423357150878348e-06,-0.0008167120673068755,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,ATR_RETURN10_Q80,3,327,2.7608915906788245,0.002346609007370154,-0.0013698245634512,0.47706422018348627,0.001855306384557946,0.0004913026228122079,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,ATR_RETURN10_Q80,5,327,2.7608915906788245,0.006091896275647216,0.0042346084651601,0.5351681957186545,0.0036171874834259542,0.002474708792221262,0.03381765756147774,0.053488893821379585
W3,2020-01-01,2023-12-31,2024-01-01,2024-12-31,ATR_RETURN10_Q80,10,327,2.7608915906788245,0.010415975004382069,0.0086021241017681,0.5382262996941896,0.007841879294721127,0.0025740957096609413,0.03381765756147774,0.053488893821379585
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,BASELINE,1,10951,100.0,0.0004248569876211119,0.0005575817775087,0.5181261985206831,0.0004248569876211119,0.0,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,BASELINE,3,10951,100.0,0.0019373715447186688,0.0022679485480632,0.5346543694639759,0.0019373715447186688,0.0,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,BASELINE,5,10951,100.0,0.0035813705289988577,0.0044721100505698,0.5550178065930053,0.0035813705289988577,0.0,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,BASELINE,10,10951,100.0,0.007519854244294065,0.0078693303596988,0.5626883389644781,0.007519854244294065,0.0,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,ATR_Q80,1,2417,22.07104374029769,0.0017020665635305635,0.0012738442476127,0.5266859743483657,0.0004248569876211119,0.0012772095759094517,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,ATR_Q80,3,2417,22.07104374029769,0.006512344808058892,0.0072827403403559,0.5792304509722797,0.0019373715447186688,0.004574973263340223,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,ATR_Q80,5,2417,22.07104374029769,0.010388163863798655,0.0140536538230557,0.6081919735208937,0.0035813705289988577,0.0068067933347997975,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,ATR_Q80,10,2417,22.07104374029769,0.020764317446313085,0.0245715235304644,0.629292511377741,0.007519854244294065,0.01324446320201902,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,RETURN10_Q80,1,2250,20.54606885215962,0.00023968250992059245,0.00053897088075415,0.5155555555555555,0.0004248569876211119,-0.00018517447770051944,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,RETURN10_Q80,3,2250,20.54606885215962,0.001585471906121909,0.0019633786119179,0.5333333333333333,0.0019373715447186688,-0.0003518996385967598,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,RETURN10_Q80,5,2250,20.54606885215962,0.003126632477289332,0.0043095657807137,0.5524444444444444,0.0035813705289988577,-0.00045473805170952565,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,RETURN10_Q80,10,2250,20.54606885215962,0.006407376666380562,0.006403954894977949,0.5462222222222223,0.007519854244294065,-0.0011124775779135032,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,ATR_RETURN10_Q80,1,646,5.899004657108939,0.001325702749861305,0.00151995390592195,0.5402476780185759,0.0004248569876211119,0.0009008457622401931,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,ATR_RETURN10_Q80,3,646,5.899004657108939,0.004742920966343502,0.0060924822940134505,0.5773993808049536,0.0019373715447186688,0.002805549421624833,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,ATR_RETURN10_Q80,5,646,5.899004657108939,0.007217843812023036,0.0112145952923872,0.6021671826625387,0.0035813705289988577,0.0036364732830241786,0.03057970522665621,0.04928391110128499
W4,2021-01-01,2024-12-31,2025-01-01,2025-12-31,ATR_RETURN10_Q80,10,646,5.899004657108939,0.016862092649693745,0.02633150894899655,0.608359133126935,0.007519854244294065,0.00934223840539968,0.03057970522665621,0.04928391110128499
