Factor,Target,Quantile,Trades,Average_Future_Return,Median_Future_Return,Win_Rate,Std_Future_Return,Min_Future_Return,Max_Future_Return,Average_Future_Return_Pct,Median_Future_Return_Pct,Win_Rate_Pct
Return_3D,Future_Return_5D,4,16873,0.0028847089682427613,0.003707707808604,0.5535470870621704,0.03830743810015465,-0.3213839150478167,0.4967532467532467,0.2884708968242761,0.3707707808604,55.35470870621704
Return_3D,Future_Return_5D,5,16873,0.003262830270336977,0.0034130470899365,0.5416345640964855,0.047235364663894865,-0.342394572327278,0.405995088904534,0.3262830270336977,0.34130470899365,54.163456409648546
Return_3D,Future_Return_10D,1,16873,0.009914014913013457,0.0101453823412946,0.5675931962306644,0.07706239840125144,-0.6148600699257925,0.5491964714904667,0.9914014913013457,1.01453823412946,56.75931962306644
Return_3D,Future_Return_10D,2,16873,0.006569566699240355,0.0070930545039795,0.5606590410715344,0.05565313904024935,-0.4314859960017148,0.552755472521202,0.6569566699240355,0.70930545039795,56.06590410715344
Return_3D,Future_Return_10D,3,16873,0.006623042584081983,0.0071648138631703,0.5655781425946779,0.05352283754521396,-0.3889480000820344,0.4019554761350727,0.6623042584081983,0.71648138631703,56.55781425946779
Return_3D,Future_Return_10D,4,16873,0.0061933805455658955,0.0070525470886242,0.5656374088780892,0.05619418380577645,-0.5275113994965994,0.5199414882953679,0.6193380545565895,0.70525470886242,56.56374088780892
Return_3D,Future_Return_10D,5,16873,0.008866162646920334,0.0084151492470121,0.568008060214544,0.0702585221809589,-0.6305522454304135,0.5873561692906928,0.8866162646920334,0.84151492470121,56.8008060214544
Return_5D,Future_Return_1D,1,16873,0.0007587507150997906,0.0007435114515723,0.5202394357849819,0.021835977016360777,-0.1685545990292773,0.2224185161030107,0.07587507150997906,0.07435114515723,52.02394357849819
Return_5D,Future_Return_1D,2,16873,7.319734165046474e-05,0.0003361100802345,0.5115865584069224,0.014285883987180555,-0.1260493714132426,0.1065573528807477,0.0073197341650464735,0.033611008023450004,51.158655840692234
Return_5D,Future_Return_1D,3,16873,0.00036136034339837904,0.0005225845163807,0.5184021809992295,0.01334151588043934,-0.0869178249411386,0.1147155593263524,0.036136034339837905,0.052258451638070004,51.84021809992295
Return_5D,Future_Return_1D,4,16873,0.00018228229178720562,0.0003650081795056,0.5137201446097315,0.013428953355543925,-0.1210250153681585,0.1016948974464724,0.01822822917872056,0.03650081795056,51.37201446097315
Return_5D,Future_Return_1D,5,16873,4.383315615406804e-05,0.0001081649429934,0.5019854204942809,0.017820627737619322,-0.1246763134896399,0.157802559050403,0.004383315615406804,0.01081649429934,50.198542049428085
Return_5D,Future_Return_3D,1,16873,0.0030486010349215762,0.0025493526169904,0.5335150832691282,0.04285271373554688,-0.3466666821186049,0.6073923617978638,0.30486010349215764,0.25493526169904,53.35150832691282
Return_5D,Future_Return_3D,2,16873,0.0015920830373869258,0.0021259425770636,0.5355301369051146,0.029358091683688067,-0.1806547819014108,0.2893123652396401,0.15920830373869257,0.21259425770636,53.55301369051146
Return_5D,Future_Return_3D,3,16873,0.0016094880112362021,0.0019009308960571,0.535589403188526,0.027286478046058955,-0.2414091320250451,0.1986563614777747,0.1609488011236202,0.19009308960571,53.5589403188526
Return_5D,Future_Return_3D,4,16873,0.0015604479719589306,0.001755604346707,0.5357079357553488,0.02771865033530046,-0.2441505001764768,0.2759039518403952,0.15604479719589306,0.17556043467069998,53.57079357553488
Return_5D,Future_Return_3D,5,16873,0.0016295762100902772,0.0018080573518435,0.5265216618265869,0.03666491489416645,-0.2767678937302569,0.3860311989178897,0.16295762100902772,0.18080573518435,52.65216618265869
Return_5D,Future_Return_5D,1,16873,0.004927536290597684,0.0048738557728975,0.5485094529722041,0.05708192955740537,-0.4531223602938753,0.8082123766737199,0.4927536290597684,0.48738557728975,54.85094529722041
Return_5D,Future_Return_5D,2,16873,0.002700912843464442,0.0034645148299796,0.547205594737154,0.03903163011147835,-0.2395354035132908,0.288573524872181,0.2700912843464442,0.34645148299795997,54.720559473715404
Return_5D,Future_Return_5D,3,16873,0.0028992901473060837,0.0034974140187711,0.5520654299768861,0.036686743810202996,-0.3866896407387643,0.3142981677315803,0.2899290147306084,0.34974140187711,55.206542997688615
Return_5D,Future_Return_5D,4,16873,0.003041410817332554,0.0033423343833212,0.5515912997095952,0.03730819970893204,-0.2850012294885817,0.3964904421792461,0.30414108173325544,0.33423343833212,55.15912997095952
Return_5D,Future_Return_5D,5,16873,0.004046780606475413,0.0040283774075378,0.5467907307532744,0.04791765195595323,-0.342394572327278,0.5408639892685674,0.4046780606475413,0.40283774075378,54.679073075327445
Return_5D,Future_Return_10D,1,16873,0.009423741532486547,0.0098041700106175,0.566407870562437,0.07774607018428056,-0.6305522454304135,0.5491964714904667,0.9423741532486547,0.9804170010617499,56.6407870562437
Return_5D,Future_Return_10D,2,16873,0.007147252973221353,0.0077318719261507,0.5648076809103301,0.05539409934407902,-0.3431178013857048,0.552755472521202,0.7147252973221353,0.77318719261507,56.480768091033006
Return_5D,Future_Return_10D,3,16873,0.0061314515118291325,0.0068552918370496,0.5637408878089255,0.05361384610153233,-0.4434535942292547,0.4990454274757443,0.6131451511829132,0.68552918370496,56.37408878089255
Return_5D,Future_Return_10D,4,16873,0.006067291334041742,0.0066297969903532,0.5625555621406981,0.05540880674278865,-0.3889480000820344,0.5199414882953679,0.6067291334041742,0.66297969903532,56.25555621406981
Return_5D,Future_Return_10D,5,16873,0.009396430037243247,0.0089378925559824,0.569963847567119,0.07026219539031506,-0.3945793433537728,0.5873561692906928,0.9396430037243247,0.89378925559824,56.996384756711905
Return_10D,Future_Return_1D,1,16873,0.0007703931459182925,0.0005955926146516,0.5152018016950157,0.022094771477896447,-0.1685545990292773,0.2224185161030107,0.07703931459182925,0.059559261465159996,51.52018016950157
Return_10D,Future_Return_1D,2,16873,0.00019790278842393333,0.0004893078351968,0.5160315296627749,0.014520237414422604,-0.1195563219976546,0.1016948974464724,0.019790278842393334,0.04893078351968,51.60315296627749
Return_10D,Future_Return_1D,3,16873,0.00019147538251094596,0.0004192968017564,0.5159129970959521,0.013247130944849342,-0.1071172213137221,0.1016386861774292,0.019147538251094595,0.04192968017564,51.591299709595205
Return_10D,Future_Return_1D,4,16873,-6.855926405664188e-06,0.0002488202434904,0.508801043086588,0.013512604571593732,-0.1004194768859833,0.1147155593263524,-0.0006855926405664188,0.02488202434904,50.8801043086588
Return_10D,Future_Return_1D,5,16873,0.0002665084576424003,0.0003655054334339,0.5099863687548154,0.01731234188600029,-0.1278971220645359,0.157802559050403,0.026650845764240032,0.03655054334339,50.99863687548154
