Date,Equity,Cash,Open_Positions,Peak,Drawdown_pct
2023-08-07,18714.807668676338,14960.275014167732,1,19036.655489487664,-1.6906741890089672
2023-08-08,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-09,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-10,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-11,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-14,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-15,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-16,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-17,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-18,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-21,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-22,18599.73870699485,18599.73870699485,0,19036.655489487664,-2.295134157016643
2023-08-23,18701.119567812762,14879.790965595877,1,19036.655489487664,-1.7625781054880663
2023-08-24,18477.489365757505,14963.945237135318,1,19036.655489487664,-2.9373128280802296
2023-08-25,18314.414211688214,14713.751487714024,1,19036.655489487664,-3.7939504562567894
2023-08-28,18406.254043134883,14702.671782610252,1,19036.655489487664,-3.311513656907328
2023-08-29,19018.251657129797,11136.225664026573,2,19036.655489487664,-0.09667576517330412
2023-08-30,19109.64182249273,11431.245952303241,2,19109.64182249273,0.0
2023-08-31,19163.857340615716,11480.640138994106,2,19163.857340615716,0.0
2023-09-01,18627.682392704657,11341.738693577565,2,19163.857340615716,-2.7978446008084967
2023-09-05,18975.680751718057,15039.48053243748,1,19163.857340615716,-0.9819348242529391
2023-09-06,18857.828190890497,15124.438228556954,1,19163.857340615716,-1.5969078890846422
2023-09-07,18950.22457598168,15081.16464750024,1,19163.857340615716,-1.1147691241745195
2023-09-08,18863.288850251225,15123.379755622174,1,19163.857340615716,-1.568413315869699
2023-09-11,19376.307894672995,15392.59283432505,1,19376.307894672995,0.0
2023-09-12,19240.753657807792,15429.986835360696,1,19376.307894672995,-0.6995875457907474
2023-09-13,19312.751782570787,15436.141255181048,1,19376.307894672995,-0.3280094043080384
2023-09-14,19447.912290640303,15504.385621187781,1,19447.912290640303,0.0
2023-09-15,19380.11020934551,15539.472290898564,1,19447.912290640303,-0.3486342404342535
2023-09-18,19169.100190586556,15402.077830315986,1,19447.912290640303,-1.4336351166491568
2023-09-19,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-09-20,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-09-21,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-09-22,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-09-25,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-09-26,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-09-27,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-09-28,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-09-29,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-10-02,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
2023-10-03,19186.424421207386,19186.424421207386,0,19447.912290640303,-1.3445549605793028
