Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Position_Value,PnL,Return,Exit_Reason,Hold_Days,ATR_Pct,Return_10D
AMT,2022-10-27,2022-10-28,174.95375845756018,181.9519087958626,12.258064247918837,2144.5944115876464,85.78377646350604,0.040000000000000036,TP,1,0.03951933475575,0.0714403342512919
ADBE,2022-10-26,2022-10-31,318.1600036621094,318.5,6.824682092024993,2171.340879391404,2.320366918556227,0.0010686331844895758,TIME,5,0.0327284330934771,0.1367834280425088
BA,2022-10-28,2022-10-31,141.16000366210938,142.50999450683594,15.273220311312421,2155.9678350770646,20.61870758976355,0.009563550649644315,TIME,3,0.0450006400200688,0.0555891310395821
BAC,2022-10-28,2022-10-31,32.59648732952705,32.59648895263672,66.00991338949328,2151.6913054237957,0.00010714132860653074,4.979400536342382e-08,TIME,3,0.0332351137340182,0.1319027409029798
BLK,2022-10-28,2022-10-31,592.7477038016764,590.1073608398438,3.6266041836210015,2149.6613024389017,-9.575478831576483,-0.0044544128048044085,TIME,3,0.0357935114996146,0.1465466174336556
AAPL,2022-10-31,2022-11-01,150.22496108445085,147.22046186276182,14.663972655409177,2202.894721502295,-44.057894430046105,-0.02000000000000013,SL,1,0.0334623921373316,0.1254517945984083
ADBE,2022-11-01,2022-11-01,321.010009765625,314.58980957031247,6.778779534433558,2176.056084547535,-43.52112169095092,-0.02000000000000013,SL,0,0.0340860952414533,0.0851788756388416
AMT,2022-11-01,2022-11-02,184.2262339948061,180.54170931490998,11.793397047038908,2172.6531239814453,-43.45306247962898,-0.020000000000000018,SL,1,0.0389084064722003,0.076367727542802
BLK,2022-11-01,2022-11-02,600.0018107551236,588.0017745400212,3.6134000937456126,2168.046599230101,-43.360931984601955,-0.020000000000000018,SL,1,0.0362478635044979,0.1346685552148609
CAT,2022-11-01,2022-11-02,206.46348375396576,202.33421407888645,10.452410402928193,2158.0410654147477,-43.16082130829494,-0.020000000000000018,SL,1,0.033122590773089,0.2052455939218851
ADBE,2022-11-02,2022-11-02,318.8399963378906,312.4631964111328,6.747778049641221,2151.4615286365056,-43.02923057273021,-0.020000000000000018,SL,0,0.0351107704909988,0.0786401022710689
AVGO,2022-11-02,2022-11-02,44.42832622962756,43.539759705035,48.165448552624134,2139.9102612923275,-42.79820522584674,-0.02000000000000013,SL,0,0.0322581539077289,0.0760525976599573
BA,2022-11-03,2022-11-03,148.7899932861328,154.74159301757814,14.241436943851804,2118.983307260594,84.75933229042396,0.040000000000000036,TP,0,0.0423357707192914,0.0651781509664175
CAT,2022-11-03,2022-11-03,199.76803394501596,207.7587553028166,10.629356265237407,2123.405603207614,84.93622412830472,0.040000000000000036,TP,0,0.032186112501071,0.1711704528083968
NVDA,2022-11-03,2022-11-03,13.010755424842651,13.531185641836357,161.55915488870062,2102.006650901156,84.0802660360462,0.040000000000000036,TP,0,0.0544292221991831,0.0969217574376561
AMT,2022-11-03,2022-11-04,178.77186495110814,175.196427652086,11.829949114057701,2114.8620653968046,-42.297241307936005,-0.019999999999999907,SL,1,0.0379195788692871,0.0743493093645943
BLK,2022-11-03,2022-11-04,572.3194612468126,595.2122396966851,3.695580603899364,2115.052700217854,84.60210800871408,0.040000000000000036,TP,1,0.0324397924975919,0.1053989060273923
NVDA,2022-11-04,2022-11-04,13.951424297335134,13.67239581138843,154.65955131679928,2157.7210220561433,-43.15442044112301,-0.020000000000000018,SL,0,0.0531735979226152,0.1006232592235425
BA,2022-11-04,2022-11-07,156.66000366210938,162.92640380859376,13.830465371194713,2166.6807557000407,86.66723022800178,0.040000000000000036,TP,3,0.042656648835334,0.126644106223015
