Date,Equity,Cash,Open_Positions,Hold_Period
2023-05-26,12831.88111854646,4954.671844468106,3,3
2023-05-30,12979.749706534829,7607.1232125443275,2,3
2023-05-31,12840.938655751572,5259.854421534765,3,3
2023-06-01,13005.501162447734,123.4789592341358,5,3
2023-06-02,13079.18237326737,7742.629259751626,2,3
2023-06-05,13141.924969418866,5372.287104662246,3,3
2023-06-06,13267.821335556673,115.51711689469903,5,3
2023-06-07,13095.840891537247,7828.014364713092,2,3
2023-06-08,13444.721818264832,5463.024467546015,3,3
2023-06-09,13565.260193122453,85.13574024008176,5,3
2023-06-12,14023.023297734377,8510.198824867377,2,3
2023-06-13,14179.68692834631,8545.55099860349,2,3
2023-06-14,14292.763822703402,5709.6136129342285,3,3
2023-06-15,14318.936553772179,5708.279238253768,3,3
2023-06-16,14201.764087183506,2949.279579682145,4,3
2023-06-20,14404.135798787962,5751.978439562445,3,3
2023-06-21,14109.188898021588,8465.875012675258,2,3
2023-06-22,14264.1863743225,8437.307102668996,2,3
2023-06-23,14191.009981812236,8379.73506524705,2,3
2023-06-26,13984.603877716432,11092.19665872434,1,3
2023-06-27,14043.476130347952,14043.476130347952,0,3
2023-06-28,14075.044644373545,11234.780904278361,1,3
2023-06-29,14054.66678414575,11234.780904278361,1,3
2023-06-30,14156.901692019956,14156.901692019956,0,3
2023-07-03,14156.901692019956,14156.901692019956,0,3
2023-07-05,14194.06854567165,11325.521353615964,1,3
2023-07-06,14133.748605635521,11325.521353615964,1,3
2023-07-07,14112.321673246634,14112.321673246634,0,3
2023-07-10,14112.321673246634,14112.321673246634,0,3
2023-07-11,14112.321673246634,14112.321673246634,0,3
2023-07-12,14067.992481803629,11289.857338597307,1,3
2023-07-13,14128.357897663367,11289.857338597307,1,3
2023-07-14,14163.903105821693,14163.903105821693,0,3
2023-07-17,14200.964568852089,11331.122484657355,1,3
2023-07-18,14230.218332554132,11331.122484657355,1,3
2023-07-19,14209.661707100335,14209.661707100335,0,3
2023-07-20,14209.661707100335,14209.661707100335,0,3
2023-07-21,14209.661707100335,14209.661707100335,0,3
2023-07-24,14209.661707100335,14209.661707100335,0,3
2023-07-25,14256.33051800539,11367.729365680269,1,3
2023-07-26,14241.975725418328,11367.729365680269,1,3
2023-07-27,14270.306325312251,14270.306325312251,0,3
2023-07-28,14270.306325312251,14270.306325312251,0,3
2023-07-31,14270.306325312251,14270.306325312251,0,3
2023-08-01,14270.306325312251,14270.306325312251,0,3
2023-08-02,14270.306325312251,14270.306325312251,0,3
