Window,Train_Start,Train_End,Test_Start,Test_End,Signal,Horizon,Observations,Coverage_pct,Avg_Return_pct,Win_Rate_pct,Excess_vs_Baseline_pp,ATR_Q80,Return10_Q80,Score_Q80,Score_Q90,Score_Q95
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP10,3,1672,14.173094854624058,0.07434559532941215,53.05023923444976,0.14898698320755682,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP10,5,1672,14.173094854624058,0.11241155435148306,53.289473684210535,0.2445905924067711,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP5,1,695,5.891328303806052,-0.02004228073595019,48.776978417266186,-0.022181039475184475,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP5,3,695,5.891328303806052,-0.14831483264613401,51.07913669064749,-0.07367344476798933,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W1,2018-10-16,2021-12-31,2022-01-01,2022-12-31,SCORE_TOP5,5,695,5.891328303806052,-0.09092011301477959,52.51798561151079,0.04125892504050848,0.032140927658263777,0.050548994091881086,0.6687662730452623,0.7986061068300766,0.8806801146674382
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,ATR_Q80,1,1029,8.757446808510638,0.3224706722350948,54.61613216715258,0.23708232513360933,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,ATR_Q80,3,1029,8.757446808510638,1.0954204771990015,59.37803692905733,0.7998763010959775,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,ATR_Q80,5,1029,8.757446808510638,1.8019178720001745,60.05830903790087,1.3060525441482624,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,COMBO_Q80,1,399,3.3957446808510636,0.5234573576915601,58.1453634085213,0.43806901059007464,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,COMBO_Q80,3,399,3.3957446808510636,1.625219990759515,63.90977443609023,1.329675814656491,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,COMBO_Q80,5,399,3.3957446808510636,2.759369813356186,65.16290726817043,2.263504485504274,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,SCORE_TOP20,1,1736,14.774468085106381,0.23325126557244683,54.26267281105991,0.14786291847096134,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,SCORE_TOP20,3,1736,14.774468085106381,0.8185069810797108,57.48847926267281,0.5229628049766868,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,SCORE_TOP20,5,1736,14.774468085106381,1.333970531593776,59.61981566820277,0.8381052037418641,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
W2,2019-01-02,2022-12-30,2023-01-01,2023-12-31,SCORE_TOP10,1,699,5.948936170212766,0.3728798572280331,55.93705293276109,0.2874915101265476,0.033575298654529,0.0521360871522922,0.668904086457278,0.7959673674434313,0.8751081771361027
