Window,Train_Start,Train_End,Test_Start,Test_End,Factor_A,Factor_B,Train_Q_A,Train_Q_B,Train_Avg_A,Train_Avg_B,Test_Trades,Test_Win_Rate,Test_Avg_PnL,Test_Sum_PnL
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Return_3D,Drop_ATR_Ratio,Q1,Q3,0.005332082329512959,0.005113892226883157,18,0.6111111111111112,0.013376986381905745,0.24078575487430343
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Return_3D,SPY_Distance_SMA50,Q1,Q3,0.005332082329512959,0.005619487456261902,13,0.38461538461538464,-0.0019926354363972694,-0.0259042606731645
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,SPY_Return,Drop_ATR_Ratio,Q2,Q3,0.0045734466572701984,0.005113892226883157,19,0.42105263157894735,0.0025886251051763895,0.0491838769983514
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,SPY_Return,SPY_Distance_SMA50,Q2,Q3,0.0045734466572701984,0.005619487456261902,20,0.5,0.00324571163279231,0.0649142326558462
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA20,Distance_SMA50,Q3,Q3,0.003459486784510861,0.0033830085345016143,16,0.4375,0.005011465694013788,0.08018345110422061
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA20,SPY_Return,Q3,Q2,0.003459486784510861,0.003044523426078685,17,0.4117647058823529,0.004705882352941171,0.0799999999999999
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA20,Drop_ATR_Ratio,Q3,Q3,0.003459486784510861,0.0033177052288520126,13,0.38461538461538464,0.0036646423245705693,0.0476403502194174
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA20,SPY_Distance_SMA50,Q3,Q1,0.003459486784510861,0.0035648541826914723,22,0.36363636363636365,0.0013046952196046544,0.028703294831302396
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA50,Return_3D,Q3,Q1,0.0033830085345016143,0.004637130582856501,18,0.16666666666666666,-0.01000000000000001,-0.1800000000000002
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA50,SPY_Return,Q3,Q2,0.0033830085345016143,0.003044523426078685,23,0.43478260869565216,0.004782481225808918,0.10999706819360512
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA50,Drop_ATR_Ratio,Q3,Q3,0.0033830085345016143,0.0033177052288520126,13,0.38461538461538464,0.002719538518390762,0.035354000739079905
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA50,SPY_Distance_SMA50,Q3,Q1,0.0033830085345016143,0.0035648541826914723,18,0.2777777777777778,-0.004430514403779195,-0.07974925926802551
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Return_3D,SPY_Return,Q1,Q2,0.004637130582856501,0.003044523426078685,20,0.4,0.0023712279932666448,0.047424559865332894
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Return_3D,Drop_ATR_Ratio,Q1,Q3,0.004637130582856501,0.0033177052288520126,14,0.42857142857142855,0.002434077697135657,0.0340770877598992
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Return_3D,SPY_Distance_SMA50,Q1,Q1,0.004637130582856501,0.0035648541826914723,21,0.38095238095238093,0.0016139979376203432,0.033893956690027205
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,SPY_Return,Drop_ATR_Ratio,Q2,Q3,0.003044523426078685,0.0033177052288520126,17,0.4117647058823529,0.002209995198698723,0.03756991837787829
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,SPY_Return,SPY_Distance_SMA50,Q2,Q1,0.003044523426078685,0.0035648541826914723,33,0.36363636363636365,0.000793521657318397,0.0261862146915071
2,2019-01-01,2022-01-01,2022-01-01,2023-01-01,Drop_ATR_Ratio,SPY_Distance_SMA50,Q3,Q1,0.0033177052288520126,0.0035648541826914723,17,0.29411764705882354,-0.0070489900059289125,-0.11983283010079152
3,2020-01-01,2023-01-01,2023-01-01,2024-01-01,Distance_SMA20,Distance_SMA50,Q3,Q3,0.0024307449790734606,0.0027740974920706465,17,0.47058823529411764,0.00927364036773709,0.15765188625153054
3,2020-01-01,2023-01-01,2023-01-01,2024-01-01,Distance_SMA20,SPY_Return,Q3,Q2,0.0024307449790734606,0.005066627112827403,14,0.42857142857142855,0.00783810112953553,0.10973341581349741
3,2020-01-01,2023-01-01,2023-01-01,2024-01-01,Distance_SMA20,SPY_Distance_SMA50,Q3,Q3,0.0024307449790734606,0.00126094305613748,13,0.46153846153846156,0.0022154599206657835,0.02880097896865519
3,2020-01-01,2023-01-01,2023-01-01,2024-01-01,Distance_SMA50,Return_3D,Q3,Q1,0.0027740974920706465,0.0019471032108183386,10,0.4,0.00576518862515305,0.057651886251530504
3,2020-01-01,2023-01-01,2023-01-01,2024-01-01,Distance_SMA50,SPY_Return,Q3,Q2,0.0027740974920706465,0.005066627112827403,14,0.42857142857142855,0.006975134732252193,0.0976518862515307
4,2021-01-01,2024-01-01,2024-01-01,2025-01-01,Distance_SMA20,Distance_SMA50,Q3,Q4,0.004881985867223635,0.002692754085592971,11,0.45454545454545453,0.004805601128084105,0.052861612408925146
4,2021-01-01,2024-01-01,2024-01-01,2025-01-01,Distance_SMA20,Return_3D,Q3,Q4,0.004881985867223635,0.002982568129163698,11,0.6363636363636364,0.011212882713551954,0.1233417098490715
4,2021-01-01,2024-01-01,2024-01-01,2025-01-01,Distance_SMA20,SPY_Return,Q3,Q2,0.004881985867223635,0.003960608892313805,12,0.25,-0.00912425651803645,-0.1094910782164374
4,2021-01-01,2024-01-01,2024-01-01,2025-01-01,Distance_SMA50,Return_3D,Q4,Q4,0.002692754085592971,0.002982568129163698,20,0.45,0.003603709741309219,0.07207419482618438
4,2021-01-01,2024-01-01,2024-01-01,2025-01-01,Distance_SMA50,Drop_ATR_Ratio,Q4,Q1,0.002692754085592971,0.0013470013050979313,28,0.42857142857142855,0.004656771233382088,0.13038959453469845
4,2021-01-01,2024-01-01,2024-01-01,2025-01-01,Return_3D,Drop_ATR_Ratio,Q4,Q1,0.002982568129163698,0.0013470013050979313,11,0.6363636363636364,0.018181818181818174,0.1999999999999999
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Distance_SMA20,Distance_SMA50,Q3,Q4,0.0035599703015990955,0.0035698730571603852,17,0.5882352941176471,0.013040198835264836,0.2216833801995022
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Distance_SMA20,Return_3D,Q3,Q4,0.0035599703015990955,0.0030657990624078342,14,0.2857142857142857,-0.0053350701627316996,-0.07469098227824379
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Distance_SMA20,SPY_Return,Q3,Q3,0.0035599703015990955,0.00583490177341727,13,0.38461538461538464,0.0009072224595071074,0.011793891973592397
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Distance_SMA20,Drop_ATR_Ratio,Q3,Q1,0.0035599703015990955,0.0030813580571768797,11,0.45454545454545453,0.002699537138332237,0.029694908521654604
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Distance_SMA20,SPY_Distance_SMA50,Q3,Q3,0.0035599703015990955,0.006135136616810376,12,0.4166666666666667,-0.002616787034696508,-0.031401444416358094
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Distance_SMA50,Return_3D,Q4,Q4,0.0035698730571603852,0.0030657990624078342,24,0.375,0.0015772901055564207,0.037854962533354096
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Distance_SMA50,Drop_ATR_Ratio,Q4,Q1,0.0035698730571603852,0.0030813580571768797,22,0.4090909090909091,0.004545454545454558,0.10000000000000028
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Distance_SMA50,SPY_Distance_SMA50,Q4,Q3,0.0035698730571603852,0.006135136616810376,15,0.5333333333333333,0.01001416767798904,0.1502125151698356
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Return_3D,SPY_Return,Q4,Q3,0.0030657990624078342,0.00583490177341727,11,0.45454545454545453,0.0079549427515778,0.08750437026735579
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Return_3D,Drop_ATR_Ratio,Q4,Q1,0.0030657990624078342,0.0030813580571768797,17,0.35294117647058826,-0.00027445748102699377,-0.004665777177458894
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Return_3D,SPY_Distance_SMA50,Q4,Q3,0.0030657990624078342,0.006135136616810376,17,0.47058823529411764,0.006279750096477147,0.1067557516401115
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,SPY_Return,SPY_Distance_SMA50,Q3,Q3,0.00583490177341727,0.006135136616810376,14,0.6428571428571429,0.011646074778685378,0.1630450469015953
5,2022-01-01,2025-01-01,2025-01-01,2025-12-20,Drop_ATR_Ratio,SPY_Distance_SMA50,Q1,Q3,0.0030813580571768797,0.006135136616810376,10,0.4,0.00400000000000002,0.0400000000000002
