Ticker,Signal_Date,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Entry_Value,Exit_Value,PnL,PnL_Pct,Score,Signal_Drop,Exit_Reason,Holding_Days,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio
HD,2024-08-01,2024-08-02,2024-08-02,337.59650070386283,330.84457068978554,6.79659168836727,2294.5055707057495,2248.615459291634,-45.89011141411538,-0.02000000000000017,5,-0.026021396094420113,SL,0,0.004988698744999631,0.03961975949967589,0.05678162625817418,-0.008543852068138236,0.014973417633806552,-0.0204873302359595,0.024027318606311913,1.0829920941567055,1.1810188683394887,1.0,-0.0141609832922176,0.0002653802735057553,1.5264801272095068
CRM,2024-08-28,2024-08-29,2024-08-29,267.16437707572857,261.82108953421397,8.56135103642706,2287.2880165736788,2241.542256242205,-45.745760331473775,-0.020000000000000087,5,-0.020060674027492564,SL,0,0.014824568186758702,0.02215963833823298,-0.030284784764638695,-0.019318250309158125,-0.008387957499624177,0.014021581410124107,0.01967942440448017,1.0193730068103821,2.166277409122829,3.0,-0.005805296430382967,0.018548167177192987,0.7184497119754244
WMT,2024-09-17,2024-09-18,2024-09-25,77.23037180926896,79.94090270996094,29.49796577612706,2278.138864507384,2358.0940122511306,79.95514774374669,0.03509669625035605,5,-0.024329676880760598,TIME,5,0.017232078146931284,0.08198550556913853,0.2622629060033641,-0.01330656403911945,-0.002664662846514898,0.01853059696782111,0.014503819915869243,1.677466834384814,1.331039313108171,2.0,0.000408622523593305,0.023672910361538957,1.04632093164801
NEE,2024-09-19,2024-09-20,2024-09-27,77.53909068976971,79.69791412353516,29.411903391305977,2280.5722444172193,2344.067350690016,63.495106272796875,0.027841742978426235,5,-0.023611780213229516,TIME,5,0.010789391648210467,0.058708947006312906,0.22488227128453842,-0.02776472356565074,-0.014018616823988639,0.024399254520394376,0.018844500161583705,1.2529799151353647,1.7924393897193875,3.0,0.017064380731744544,0.03747839286292498,1.5035068618068472
AAPL,2024-10-01,2024-10-02,2024-10-07,224.0160654907427,219.53574418092785,10.29760481801704,2306.828915310693,2260.692337004479,-46.13657830621378,-0.019999999999999966,5,-0.02914170196245669,SL,2,0.010181718338636347,0.017861323408187246,0.14732484439894233,-0.005757739168329223,-0.0051017425100005065,0.04345213630366662,0.02139288232023707,1.3622148491365023,1.0164696676119291,2.0,-0.008958387433809278,0.03173600968370072,1.3749268014875262
DIS,2024-10-01,2024-10-02,2024-10-08,91.45715143597444,89.62800840725495,25.242932296993565,2308.6466817741907,2262.473748138707,-46.17293363548379,-0.019999999999999987,5,-0.02224756752834489,SL,3,0.023244759244632984,0.039120972495455986,-0.06323671731446356,-0.012079773397533744,0.0038424933549472406,0.01281506511282604,0.017399565961302255,1.278627730014927,1.118597942392073,1.0,-0.008958387433809278,0.03173600968370072,1.3749268014875262
AMD,2024-10-10,2024-10-11,2024-10-15,164.19000244140625,160.9062023925781,13.937310304499158,2288.3670129223533,2242.599672663906,-45.76734025844735,-0.020000000000000122,5,-0.03999538899427524,SL,1,0.01929250043301023,0.09225992298552899,0.012189633997446547,-0.03971461950308308,0.008166942108803088,-0.019762449751175803,0.033243126799870945,1.2031175417118256,2.2131949124001626,2.0,-0.0017501446222122352,0.03782495036023903,0.8966943890701778
AVGO,2024-10-15,2024-10-16,2024-10-23,175.7910623441153,172.275241097233,12.965468861033719,2279.213544870664,2233.6292739732507,-45.58427089741326,-0.019999999999999993,5,-0.03472089009878987,SL,4,0.005565570432620959,0.07526787553600589,0.23272067892490034,-0.05229144632124849,-0.026282168012869755,0.05081519539199375,0.03471170805515128,1.000264522956462,1.0887703616689848,3.0,-0.0077698163523149955,0.03859031249000955,1.0929646885958222
XOM,2024-10-15,2024-10-16,2024-10-23,113.38527349516018,112.80375671386719,20.063434407186662,2274.8979975110665,2263.2307737129163,-11.66722379815019,-0.005128679971987814,5,-0.030061363729782964,TIME,5,0.006940171538269979,0.028565261951489118,0.07886288180730916,-0.02265719282143719,-0.013847954510461613,0.003501990047625414,0.022523590194906865,1.3346612804463374,1.0114965676407424,1.0,-0.0077698163523149955,0.03859031249000955,1.0929646885958222
MS,2024-10-21,2024-10-22,2024-10-29,111.70659911797378,113.27324676513672,20.4170572496258,2280.7200293526694,2312.7063640547867,31.986334702117347,0.01402466514541723,5,-0.022963785369995438,TIME,5,0.08277339634520553,0.14092572756248356,0.24448310988954525,-0.010292080607884557,0.05343788696548346,0.09884794240130046,0.02295401204128599,1.000425778669623,1.215715380896808,3.0,-0.001642173469649788,0.03676366477459325,0.8330264264540242
