Train_Start,Train_End,Test_Start,Test_End,Feature,Quartile,Train_N,Train_WinRate,Train_AvgPnL,Train_PF,Test_N,Test_WinRate,Test_AvgPnL,Test_PF,Test_TotalPnL,Baseline_Test_WinRate,Baseline_Test_AvgPnL,WinRate_Delta,AvgPnL_Delta
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Return_5D,2,30,50.0,0.6415364393864017,1.5951283646763559,12,50.0,0.9237314470550049,1.897564965532009,11.08477736466006,42.5,0.47172023212499486,7.5,0.45201121493001
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Return_10D,1,30,53.333333333333336,0.7249590908064792,1.8601536362901157,9,33.33333333333333,-0.30160157766716567,0.7638110319357378,-2.714414199004491,42.5,0.47172023212499486,-9.166666666666671,-0.7733218097921606
2020-01-01,2023-01-01,2023-01-01,2024-01-01,ATR_Pct,1,30,63.33333333333333,0.665135365232317,1.8882710138245977,6,66.66666666666666,1.0302249872182834,2.565022969143022,6.181349923309701,42.5,0.47172023212499486,24.166666666666657,0.5585047550932885
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Drop_ATR_Ratio,4,30,56.666666666666664,0.3610964497948149,1.4065557885849165,11,63.63636363636363,1.44887718414576,3.5208532073998144,15.93764902560336,42.5,0.47172023212499486,21.136363636363633,0.977156952020765
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Volume_Ratio,2,30,46.666666666666664,0.3841360449670003,1.3700009423299508,11,36.36363636363637,0.3918655437000925,1.2822152905164468,4.310520980701018,42.5,0.47172023212499486,-6.136363636363633,-0.07985468842490234
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Negative_Days_5,2,36,50.0,0.581448500658429,1.5679815936457753,16,37.5,0.3822852774699281,1.3616088038024425,6.116564439518849,42.5,0.47172023212499486,-5.0,-0.08943495465506679
2020-01-01,2023-01-01,2023-01-01,2024-01-01,SPY_Return,3,29,55.172413793103445,0.4187638832826082,1.3617685430283857,15,33.33333333333333,0.05122096556600187,1.026446193069899,0.7683144834900281,42.5,0.47172023212499486,-9.166666666666671,-0.420499266558993
2020-01-01,2023-01-01,2023-01-01,2024-01-01,SPY_Distance_SMA50,3,29,58.620689655172406,0.6479227233110921,1.7708226897542094,9,66.66666666666666,2.02410425435796,5.301540858969042,18.21693828922164,42.5,0.47172023212499486,24.166666666666657,1.552384022232965
2020-01-01,2023-01-01,2023-01-01,2024-01-01,SPY_Volume_Ratio,3,28,60.71428571428571,0.5819497654566247,1.7142228349972233,13,53.84615384615385,1.3732273063118816,2.730562601160768,17.851954982054462,42.5,0.47172023212499486,11.346153846153847,0.9015070741868867
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Distance_SMA20,2,31,48.38709677419355,0.6052125559363802,1.6427375108255717,10,50.0,0.5585189191818458,1.6151517288908146,5.585189191818459,53.48837209302325,0.7766853051205437,-3.4883720930232514,-0.21816638593869786
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Distance_SMA50,4,31,51.61290322580645,0.562026935029374,1.5564207432828259,10,70.0,3.583063572178623,6.594934277209466,35.83063572178623,53.48837209302325,0.7766853051205437,16.51162790697675,2.8063782670580792
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Distance_SMA200,3,30,53.333333333333336,0.626837314602861,1.6596817931513232,18,61.111111111111114,1.5084254742089873,2.815722345958543,27.151658535761776,53.48837209302325,0.7766853051205437,7.622739018087863,0.7317401690884436
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Return_3D,4,31,51.61290322580645,0.33649622790359673,1.2951482224286346,17,64.70588235294117,0.595697379018354,1.3161115172429512,10.126855443312015,53.48837209302325,0.7766853051205437,11.217510259917923,-0.18098792610218972
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Return_5D,3,30,46.666666666666664,0.4716627830790256,1.4537774562967578,15,60.0,0.4771198680428727,1.2122037420931533,7.15679802064309,53.48837209302325,0.7766853051205437,6.511627906976749,-0.29956543707767097
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Return_10D,3,30,50.0,0.41068494215153273,1.395951297281264,7,42.857142857142854,-0.7498718781486886,0.3636607454175219,-5.24910314704082,53.48837209302325,0.7766853051205437,-10.631229235880397,-1.5265571832692322
2021-01-01,2024-01-01,2024-01-01,2025-01-01,ATR_Pct,1,31,58.06451612903226,0.32563138779620165,1.3547660179347951,13,53.84615384615385,0.7579574011738838,1.7610909482961092,9.853446215260488,53.48837209302325,0.7766853051205437,0.35778175313059535,-0.018727903946659907
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Drop_ATR_Ratio,3,30,56.666666666666664,0.8514394743167111,1.8907190185853862,10,50.0,1.0128619127082734,2.1132852892374085,10.128619127082732,53.48837209302325,0.7766853051205437,-3.4883720930232514,0.23617660758772974
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Volume_Ratio,4,31,48.38709677419355,0.22250528350428986,1.1901571609862465,9,66.66666666666666,1.0973853634663966,2.568284868891578,9.87646827119757,53.48837209302325,0.7766853051205437,13.178294573643406,0.3207000583458529
2021-01-01,2024-01-01,2024-01-01,2025-01-01,Negative_Days_5,2,38,47.368421052631575,0.69489021025536,1.6239825053888883,21,61.904761904761905,2.0405743146789033,3.594831602722023,42.85206060825697,53.48837209302325,0.7766853051205437,8.416389811738654,1.2638890095583597
2021-01-01,2024-01-01,2024-01-01,2025-01-01,SPY_Return,1,31,54.83870967741935,1.2893372071043663,2.591270676385999,8,62.5,3.7885410426665747,5.7752908948827795,30.308328341332597,53.48837209302325,0.7766853051205437,9.011627906976749,3.011855737546031
2021-01-01,2024-01-01,2024-01-01,2025-01-01,SPY_Distance_SMA50,3,30,63.33333333333333,1.1145739750586912,2.5708787166942644,22,54.54545454545454,1.8786247219056216,3.1494725617723622,41.329743881923676,53.48837209302325,0.7766853051205437,1.0570824524312883,1.1019394167850778
2021-01-01,2024-01-01,2024-01-01,2025-01-01,SPY_Volume_Ratio,3,30,50.0,0.5052695430786476,1.5142149321987544,11,36.36363636363637,-0.5114991693011082,0.5860591774204331,-5.62649086231219,53.48837209302325,0.7766853051205437,-17.124735729386884,-1.288184474421652
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Signal_Drop,1,28,60.71428571428571,1.7476813637813151,3.345599504809831,13,38.46153846153847,0.17112447858611685,1.1369351152922347,2.224618221619519,41.66666666666667,0.15494030445277818,-3.2051282051282044,0.01618417413333867
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Distance_SMA20,2,28,50.0,0.6799531546127399,1.838147618023347,17,47.05882352941176,0.25168078533716,1.2457944514274337,4.27857335073172,41.66666666666667,0.15494030445277818,5.3921568627450895,0.09674048088438181
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Distance_SMA50,4,28,60.71428571428571,2.0451798127548453,3.6025530506347274,14,57.14285714285714,1.1797321366372306,2.2567117561840626,16.51624991292123,41.66666666666667,0.15494030445277818,15.476190476190467,1.0247918321844525
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Distance_SMA200,3,27,70.37037037037037,2.0411013178077404,3.89877165935271,13,38.46153846153847,-0.3423003608286969,0.6588675292252181,-4.44990469077306,41.66666666666667,0.15494030445277818,-3.2051282051282044,-0.4972406652814751
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Return_3D,4,28,57.14285714285714,0.5253021136179542,1.30108176989059,25,32.0,-0.20509614421728448,0.8365648423735026,-5.127403605432112,41.66666666666667,0.15494030445277818,-9.666666666666671,-0.3600364486700627
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Return_5D,3,27,55.55555555555556,0.7767831279705045,1.4802434169720995,9,33.33333333333333,0.514246812636197,1.6838390246624677,4.628221313725773,41.66666666666667,0.15494030445277818,-8.333333333333343,0.3593065081834188
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Return_10D,3,27,51.85185185185185,0.5946119481277853,1.5511421800529983,12,50.0,0.7260156488574033,1.7739472890121384,8.71218778628884,41.66666666666667,0.15494030445277818,8.333333333333329,0.5710753444046252
2022-01-01,2025-01-01,2025-01-01,2026-01-01,ATR_Pct,4,28,50.0,1.1831775467723995,2.1899796471693884,15,40.0,0.25863841733662185,1.2587230784343741,3.879576260049328,41.66666666666667,0.15494030445277818,-1.6666666666666714,0.10369811288384367
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Drop_ATR_Ratio,4,28,57.14285714285714,0.9733930834648827,2.116383420903671,21,38.095238095238095,0.04698769768599855,1.0042103698936355,0.9867416514059696,41.66666666666667,0.15494030445277818,-3.5714285714285765,-0.10795260676677962
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Volume_Ratio,4,28,50.0,0.5565831718958097,1.5806846797652787,14,21.428571428571427,-0.8329802963164666,0.5104458262042435,-11.661724148430533,41.66666666666667,0.15494030445277818,-20.238095238095244,-0.9879206007692448
2022-01-01,2025-01-01,2025-01-01,2026-01-01,Negative_Days_5,1,71,49.29577464788733,0.9491693319774888,1.9862381062526153,40,37.5,0.026835332553520816,1.0137937935610386,1.0734133021408327,41.66666666666667,0.15494030445277818,-4.166666666666671,-0.12810497189925735
2022-01-01,2025-01-01,2025-01-01,2026-01-01,SPY_Return,1,28,53.57142857142857,1.7702692323136477,3.025124346484551,12,41.66666666666667,-0.1826004818120442,0.8679086019060414,-2.19120578174453,41.66666666666667,0.15494030445277818,0.0,-0.33754078626482237
2022-01-01,2025-01-01,2025-01-01,2026-01-01,SPY_Distance_SMA50,2,28,53.57142857142857,1.4981017861681134,2.5064923021341667,19,26.31578947368421,-0.5515106341109963,0.5744022683528988,-10.478702048108929,41.66666666666667,0.15494030445277818,-15.350877192982463,-0.7064509385637745
2022-01-01,2025-01-01,2025-01-01,2026-01-01,SPY_Volume_Ratio,1,28,50.0,0.15189643450751056,1.0625909670824574,15,33.33333333333333,-0.15977550404848342,0.8680500113688641,-2.396632560727251,41.66666666666667,0.15494030445277818,-8.333333333333343,-0.3147158085012616
