Ticker,Signal_Date,Entry_Date,Signal_Close,Signal_Drop,Score,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio
GE,2021-04-28,2021-04-29,64.18653106689453,-0.021497597492222242,3,-0.016576727189931195,0.004126073243476913,0.3658974037603575,-0.025830316839797862,-0.01123608050667435,-0.03508801307124021,0.029924273215284947,0.7183999871128545,1.1051142969448238,2.0,-0.00028724404209878873,0.04955658891267989,0.7263964807858406
CAT,2021-04-29,2021-04-30,207.61141967773438,-0.020792050277921637,4,-0.01186151716914885,0.012317063363986192,0.27784742994536926,-0.013402291127646904,-0.0017117468240602784,-0.017296521086524796,0.020777470986576042,1.0007016874842474,2.1394132966438995,2.0,0.006372669552699106,0.05470946442247526,1.1411515905073706
XOM,2021-04-30,2021-05-03,46.64164352416992,-0.02884283083730943,4,0.01447979441620828,0.0033901065238364225,0.3035700528022909,0.01471359683174489,0.03005204839788278,0.010236358331866091,0.023110704662163285,1.2480290522915447,1.404252411499737,1.0,-0.006570563349010405,0.046315819444465944,1.2555125105354523
AMZN,2021-05-03,2021-05-04,169.32449340820312,-0.023340170719312603,5,0.004976343884677048,0.05803156063948123,0.05871667625911248,-0.020821220644865468,-0.006603130303257321,0.004294169041908269,0.022145145437025563,1.0539633070229928,1.5372861555287225,2.0,0.002156918404489616,0.04702671027058858,1.01770063528332
CRM,2021-05-03,2021-05-04,219.95468139648438,-0.028481987562234856,4,-0.02716635072071827,0.011094223023993877,-0.02845845751580467,-0.05538664439865926,-0.04968994996994136,-0.02924079632566201,0.02129832782460175,1.3372874996005668,1.1826408739346617,4.0,0.002156918404489616,0.04702671027058858,1.01770063528332
AAPL,2021-05-04,2021-05-05,124.30349731445312,-0.03538557797146591,4,-0.03631264239049381,0.010678258714500455,0.04974367189499995,-0.04217863967764235,-0.04866443358930461,-0.0395164164695615,0.02172190180068893,1.6290276190431734,1.4802681328668503,4.0,-0.006169268103919601,0.03901414197098285,1.474005275828993
ADBE,2021-05-04,2021-05-05,490.70001220703125,-0.025344574473869397,4,-0.03879302221798253,0.025665700195792507,0.02718924286270097,-0.04919687133490758,-0.051457501624336044,-0.045720637017991006,0.019510037625581265,1.299053080278942,1.3549033474776049,4.0,-0.006169268103919601,0.03901414197098285,1.474005275828993
AMZN,2021-05-04,2021-05-05,165.593505859375,-0.022034541333801894,3,-0.018450235265047743,0.03387119537819694,0.034822348306804196,-0.045930786056778694,-0.03088870701498947,-0.006843162218891918,0.02342548316654721,0.9406227046479172,1.371136164554489,3.0,-0.006169268103919601,0.03901414197098285,1.474005275828993
NVDA,2021-05-04,2021-05-05,14.298504829406738,-0.032722824010556706,3,-0.05192016773290753,0.03072565918940473,0.08574021903145002,-0.06352474721124601,-0.06699496660009197,-0.054049649514799625,0.03412723705320423,0.9588477367664411,1.2334237121025389,4.0,-0.006169268103919601,0.03901414197098285,1.474005275828993
PLD,2021-05-05,2021-05-06,97.35459899902344,-0.022404887308279386,4,-0.002999616297667429,0.059698114298607496,0.10898606116261678,-0.03020704481953229,-0.018158183763048008,-0.014819937840168218,0.01494180075948587,1.499477048912966,1.097408072414953,3.0,0.00031267579146110336,0.037807527008719255,0.8701735141509758
V,2021-05-10,2021-05-11,216.95823669433594,-0.026494998578964757,4,-0.01261919278307011,0.019117748215575103,0.08521598767342176,-0.01413546928214593,-0.02854551857023646,-0.01897189403972599,0.018485357811380856,1.4332964960328014,1.3686851813677754,3.0,-0.009902230250426025,0.03765694963902,1.1439901780456343
MSFT,2021-05-10,2021-05-11,236.22665405273438,-0.02091418150440494,3,-0.03227564367185709,0.009954986239036678,0.10449006919860171,0.002880698503797463,-0.01858167496763441,-0.05494156531981942,0.01934391579315917,1.0811762069291617,1.089684501788409,3.0,-0.009902230250426025,0.03765694963902,1.1439901780456343
CVX,2021-05-11,2021-05-12,85.1155014038086,-0.026193018971599535,5,0.018231766768348256,0.012430028924225622,0.20705896210515817,-0.021280513652626842,0.005560106329473458,0.03894839183723642,0.023664501941311845,1.1068485209009864,1.3583487842827369,2.0,-0.008924928080904948,0.027074939375573148,1.5675616341945369
GS,2021-05-11,2021-05-12,316.23529052734375,-0.023760559387643876,5,0.034340564542198804,0.06028779300611253,0.38240969681879733,-0.01653135713270204,0.028813311113725648,0.0383404665979743,0.021399651262043354,1.11032460747564,1.1570237691343623,2.0,-0.008924928080904948,0.027074939375573148,1.5675616341945369
HD,2021-05-11,2021-05-12,290.4431457519531,-0.030663738666961593,5,0.010273516640204372,0.08678989743547305,0.1802872701388949,-0.020498611936461297,-0.006340695086600845,0.031410571316761615,0.017160469395000863,1.786882279332899,1.4257925137404472,2.0,-0.008924928080904948,0.027074939375573148,1.5675616341945369
LOW,2021-05-11,2021-05-12,185.61386108398438,-0.028252159361536466,5,0.01544574180461833,0.08821675116992833,0.21673142436360582,-0.002913376655429123,0.02516262051953455,0.03160044319065047,0.021949659593420486,1.2871342829391843,1.1199520725355996,2.0,-0.008924928080904948,0.027074939375573148,1.5675616341945369
UNH,2021-05-11,2021-05-12,375.7437438964844,-0.02183454995218559,5,0.026820473155825253,0.09237801567474402,0.21492537223594232,-0.007879833307561479,0.0008753330765103318,0.04359956751933214,0.015477649658028027,1.41071483297597,1.1158033396613847,1.0,-0.008924928080904948,0.027074939375573148,1.5675616341945369
XOM,2021-05-11,2021-05-12,49.37137985229492,-0.03179924543782986,5,0.04278544882867963,0.04699839993437127,0.3584685745200846,-0.015597065687071532,0.023652810645271583,0.07410045283905142,0.02399028674259065,1.3255050170524114,1.407959473474532,1.0,-0.008924928080904948,0.027074939375573148,1.5675616341945369
COP,2021-05-11,2021-05-12,45.953956604003906,-0.02245610282386512,3,0.06176826489933429,0.038211951052620874,0.3124335308753112,0.0003592358490471792,0.05992031342494597,0.08615981719885535,0.03257360917292337,0.6893955995067206,1.102497749201964,2.0,-0.008924928080904948,0.027074939375573148,1.5675616341945369
BLK,2021-05-12,2021-05-13,726.5978393554688,-0.024404597368069325,3,-0.0046011753437805725,0.05855963737900871,0.2129998732828826,-0.05759721460057965,-0.032326399679018514,0.0088450150785504,0.02022557842083453,1.206620491156384,1.2199907988996235,3.0,-0.021245436947044838,0.004251662028808223,1.723389861362809
DUK,2021-05-12,2021-05-13,81.92759704589844,-0.023255678574186534,3,0.006908652643930369,0.047609143430618506,0.12589486078873646,0.0035692717403432717,0.018719699522478095,0.026884439121622083,0.017804201709609672,1.3061904686035135,1.249809846132375,2.0,-0.021245436947044838,0.004251662028808223,1.723389861362809
GOOGL,2021-05-12,2021-05-13,109.04557800292969,-0.030752379612901004,3,-0.04523335298813502,0.008259909410503585,0.20735994348339637,-0.06449152291654503,-0.04947348301912746,-0.06731123682413076,0.02549413165746981,1.2062532674608872,1.3377756623829922,3.0,-0.021245436947044838,0.004251662028808223,1.723389861362809
HON,2021-05-12,2021-05-13,194.65232849121094,-0.03979755618621972,3,-0.02877394427068769,0.0002954826184944359,0.1361429584348306,-0.038244757582433175,-0.027189389806987263,-0.01269781958564331,0.018460915628969163,2.155773688915449,1.5283746079314526,2.0,-0.021245436947044838,0.004251662028808223,1.723389861362809
MCD,2021-05-12,2021-05-13,200.66322326660156,-0.02531416464123848,3,-0.024446606560384332,0.006091986698022023,0.05798776697252306,-0.029381820554394977,-0.030207544264546637,-0.01923331639887249,0.014634136704199332,1.7298023896397294,1.3559278918717248,4.0,-0.021245436947044838,0.004251662028808223,1.723389861362809
WMT,2021-05-12,2021-05-13,42.41006088256836,-0.025869067320226313,3,-0.025012680048021707,2.240653186280639e-05,-0.02255538427044823,-0.03038538488776321,-0.029346833050571064,-0.010270270174027929,0.014256357932660882,1.8145635401704574,1.2161274659766095,3.0,-0.021245436947044838,0.004251662028808223,1.723389861362809
LOW,2021-05-17,2021-05-18,175.48072814941406,-0.024030862889986904,3,-0.03353232851149912,0.011958497990013361,0.14353001273198895,-0.007210653607545359,-0.08130234640341805,-0.025451729277331414,0.02927347722738045,0.8209090673898503,1.419899851859107,4.0,-0.002544318961581249,0.024001443769579467,0.8154168129418616
CVX,2021-05-18,2021-05-19,85.73750305175781,-0.030053967761583755,4,0.012832383638434752,0.017409423518958356,0.2076894460237313,0.007496479567415504,0.007307736401602094,0.012908474522496327,0.026724534067930794,1.1245834140715012,1.2672699157099996,2.0,-0.008615750715594395,0.013606905751434306,0.7592998367402901
COP,2021-05-19,2021-05-20,46.19518280029297,-0.0298481874349783,4,0.03332285059893447,0.04240563834196065,0.3018031011239857,-0.016631318375151194,0.005790831081684988,0.01032636526993369,0.03855408486545641,0.7741900122682358,1.0404794997486244,3.0,-0.0026218840077560923,0.009709404395594756,1.3184142612050773
XOM,2021-05-19,2021-05-20,48.759613037109375,-0.023994450942473877,4,0.005423009936583734,0.029063867249006003,0.323212560516275,-0.02945513210629369,-0.017654798428498486,-0.01854643511642462,0.02926866453912576,0.8197999915711418,1.1193995730055835,3.0,-0.0026218840077560923,0.009709404395594756,1.3184142612050773
ABBV,2021-05-27,2021-05-28,92.45771026611328,-0.020749787239269124,4,-0.026461987467280124,0.019476292198142175,0.12347907047464424,-0.03097212983288844,-0.0409017407245722,-0.036706696654049686,0.01715124777299363,1.2098121089441527,3.409183337529291,4.0,0.0005250701246510836,0.023036762414430978,0.7204441856392283
COST,2021-05-28,2021-06-01,357.8053894042969,-0.023819435644387044,4,-0.0072891417708697,0.027703151112430824,0.062217338821664914,-0.018449395828059156,-0.0064351483262792275,-0.015998070361799566,0.015835263351192227,1.5042020531091258,2.1527014536207156,1.0,0.0017885361489469176,0.023376416435133773,0.7564483218105268
GE,2021-05-28,2021-06-01,68.36840057373047,-0.020208805738631708,3,0.05957287829408986,0.059101980843331736,0.3532436189593713,0.0716465583071273,0.06273646025973356,0.06033165067347013,0.024182077806449112,0.8356935206470234,1.0976907769247828,3.0,0.0017885361489469176,0.023376416435133773,0.7564483218105268
JNJ,2021-06-01,2021-06-02,143.10728454589844,-0.021979365029210718,4,-0.017668531112653985,0.005174845940402184,0.07394515349465358,-0.020938171470817446,-0.029434123859165773,-0.022461841978815955,0.013072773227170858,1.6813085217089303,1.5169496077830706,4.0,-0.0008806610666854953,0.020973231838408823,0.7071772557949584
AVGO,2021-06-07,2021-06-08,41.89380645751953,-0.023620777365078283,5,0.02410680526614528,0.003955564134570544,0.10605940603735897,-0.021003364111143896,-0.018101825596510523,0.027790331412525848,0.023246834890143394,1.0160857371208603,1.2952168396430133,3.0,-0.0009703623223457081,0.0209154045889115,0.713936891468506
GS,2021-06-10,2021-06-11,329.6632385253906,-0.023094157730646492,5,0.0036625760340318614,0.05728217372792144,0.347777433177769,-0.036634260788542594,-0.03802216865238206,0.021238158992746392,0.02050062962538151,1.1265096805638581,1.47990492612426,4.0,0.004648469226266716,0.020349666367065034,0.8115919021039468
ORCL,2021-06-10,2021-06-11,76.65275573730469,-0.02626621358346337,5,0.025117146985978778,0.05592984626100406,0.26229480990814724,-0.019537848195011365,0.014921637010072208,0.038354619522248834,0.016733235321540592,1.5697032330413137,1.6433152393430994,2.0,0.004648469226266716,0.020349666367065034,0.8115919021039468
COP,2021-06-17,2021-06-18,49.04601287841797,-0.034680313710627186,5,0.011302378244454347,0.07360794250621949,0.31916182633502244,-0.021555489516463244,-0.019278622239844223,-0.007734996287433349,0.026363558185367755,1.3154640760849716,1.7482256734829884,3.0,-0.0003317714336181776,0.01142358122952336,1.5844121206272064
XOM,2021-06-17,2021-06-18,51.24802017211914,-0.03291728922352988,5,0.017255187447478004,0.05219364951951855,0.32787935005654245,-0.0012886850847655396,-0.012111275607738614,0.01323971714522365,0.0238517657100656,1.3800776690355703,1.2076629404840773,4.0,-0.0003317714336181776,0.01142358122952336,1.5844121206272064
CVX,2021-06-17,2021-06-18,86.4561538696289,-0.023707441882624636,4,0.0032655631709694877,0.020037590086473767,0.18454507092133965,-0.00833561297510843,-0.012360332901015125,-0.0048330488718948406,0.02659809454282694,0.8913210622833182,1.5109932669335724,3.0,-0.0003317714336181776,0.01142358122952336,1.5844121206272064
GS,2021-06-17,2021-06-18,318.6962585449219,-0.025606404493595747,4,-0.03505208936707471,0.00907241902985012,0.2835825171234605,-0.030623116809338935,-0.03326722151224659,-0.07002449825769386,0.023592133835817597,1.0853789094193795,1.5310960613871185,4.0,-0.0003317714336181776,0.01142358122952336,1.5844121206272064
MS,2021-06-17,2021-06-18,74.42338562011719,-0.035016530651471145,4,-0.033409164618560694,0.023291644268968792,0.2633670587531396,-0.030974513717647922,-0.04112154750766672,-0.05827542417960341,0.021751237790770372,1.609863815029855,1.2296258575352361,3.0,-0.0003317714336181776,0.01142358122952336,1.5844121206272064
