Date,Cash,Open_Positions,Equity,Daily_Return,Peak,Drawdown
2024-06-20,12667.03152709482,0,12667.03152709482,0.0,12886.34434714439,-0.01701900974718018
2024-06-21,10133.625221675855,1,12667.03152709482,0.0,12886.34434714439,-0.01701900974718018
2024-06-22,10133.625221675855,1,12667.03152709482,0.0,12886.34434714439,-0.01701900974718018
2024-06-23,10133.625221675855,1,12667.03152709482,0.0,12886.34434714439,-0.01701900974718018
2024-06-24,10133.625221675855,1,12667.03152709482,0.0,12886.34434714439,-0.01701900974718018
2024-06-25,5066.812610837926,3,12667.031527094818,-1.1102230246251565e-16,12886.34434714439,-0.01701900974718029
2024-06-26,2503.005429753935,4,12616.36340098644,-0.0039999999999998925,12886.34434714439,-0.020950933708191455
2024-06-27,2503.005429753935,4,12616.36340098644,0.0,12886.34434714439,-0.020950933708191455
2024-06-28,4998.254945898067,3,12568.6674143929,-0.003780486109793868,12886.34434714439,-0.024652215104114306
2024-06-29,4998.254945898067,3,12568.6674143929,0.0,12886.34434714439,-0.024652215104114306
2024-06-30,4998.254945898067,3,12568.6674143929,0.0,12886.34434714439,-0.024652215104114306
2024-07-01,2484.5214630194864,4,12568.667414392898,-1.1102230246251565e-16,12886.34434714439,-0.024652215104114417
2024-07-02,7504.484517783618,2,12541.490680859486,-0.0021622605354558733,12886.34434714439,-0.026761171127739014
2024-07-03,12673.486680210248,0,12673.486680210248,0.010524745639066024,12886.34434714439,-0.016518080007796088
2024-07-04,12673.486680210248,0,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-05,12673.486680210248,0,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-06,12673.486680210248,0,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-07,12673.486680210248,0,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-08,12673.486680210248,0,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-09,12673.486680210248,0,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-10,10138.789344168199,1,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-11,10138.789344168199,1,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-12,2534.6973360420498,4,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-13,2534.6973360420498,4,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
2024-07-14,2534.6973360420498,4,12673.486680210248,0.0,12886.34434714439,-0.016518080007796088
