Group,Year,Horizon,N,Mean,Median,Win_Rate
A,2018,1,750,-0.0010968929264006256,-4.290184548616516e-05,0.49733333333333335
A,2018,3,750,-0.0032849283087787403,-0.0024194990314568288,0.45066666666666666
A,2018,5,750,-0.0034542241999303406,-0.0018778125260207057,0.46
A,2019,1,1162,-0.00027462950085404626,0.0,0.49569707401032703
A,2019,3,1162,0.0009503909222085149,0.0008402709098651595,0.5189328743545611
A,2019,5,1162,0.0021797266916749867,0.0028223034727891116,0.5593803786574871
A,2020,1,1041,-0.002113295291199833,-0.0011255736699689045,0.4668587896253602
A,2020,3,1041,-0.0027616150304636575,-0.0014188737212643687,0.473583093179635
A,2020,5,1041,-0.001360606986572009,0.0015428815569196175,0.5177713736791547
A,2021,1,1133,0.00021814501724829735,-0.00026621372076285343,0.48984995586937335
A,2021,3,1133,0.002014016062282174,0.0016414326845246574,0.5322153574580759
A,2021,5,1133,0.004574411471953192,0.0031145826801151077,0.5533980582524272
A,2022,1,838,0.001055971111792158,0.0011560026532642098,0.548926014319809
A,2022,3,838,0.0007086429600049529,0.0013877275569490477,0.5167064439140812
A,2022,5,838,0.0016854022490446572,0.0031071546717118537,0.535799522673031
A,2023,1,1058,0.0009509849224919078,0.0004503519151116686,0.5245746691871456
A,2023,3,1058,0.002081633241047073,0.00204562365459382,0.5368620037807184
A,2023,5,1058,0.005832320923448619,0.003319213910775054,0.5614366729678639
A,2024,1,989,-0.0008267333267941418,-0.0007475392406767201,0.46511627906976744
A,2024,3,989,0.0019600819244607807,0.0006855870476785153,0.5146612740141557
A,2024,5,989,0.003099837786644068,0.0020991845285946997,0.5399393326592518
A,2025,1,841,0.00017347957963022507,0.0006169213282161135,0.5196195005945303
A,2025,3,841,0.0013423426823178882,0.0028077741076131257,0.549346016646849
A,2025,5,841,0.0023239620364654155,0.003036379876535822,0.544589774078478
B,ALL,1,5289,-0.00014138347153497114,0.00011496708310887449,0.5034978256759312
B,ALL,3,5289,0.0006527088411723487,0.0006132991642910923,0.5125732652675364
B,ALL,5,5289,0.0026285070262717677,0.002364976900181892,0.5411230856494611
B,2018,1,437,-0.0005406325802438207,0.0006095841794129253,0.5217391304347826
B,2018,3,437,-0.0017066109992891103,-0.001727472800010732,0.4462242562929062
