Ticker,Sector,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,PnL_$,PnL_%,Exit,Signal_Drop,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Distance_SMA50,Win,Drop_Abs,Drop_Group,ATR_Group,Volume_Group,SMA_Group,ATR_Pct_Group
CRM,Technology,2023-03-13,2023-03-14,171.0,177.84,11.600059830022154,79.34440923735157,4.000000000000004,TP,-3.099825708976167,3.4043850649595524,0.9105390987881672,1.431980906921241,7.723921838683112,True,3.099825708976167,> -4%,0.5 - 1 ATR,1.25 - 1.5x,> 20%,> 6%
CRM,Technology,2023-06-02,2023-06-05,212.8999938964844,208.6419940185547,9.391635369202689,-39.98958225562508,-1.999999999999991,SL,-4.691561803763966,2.6390671822703413,1.7777348887829,2.989605147164491,6.718928779037503,False,4.691561803763966,> -4%,1.5 - 2 ATR,> 2x,> 20%,> 6%
CRM,Technology,2023-06-08,2023-06-09,205.3800048828125,213.59520507812505,9.696568063996542,79.65924785320553,4.000000000000004,TP,-3.3450834727784207,3.1587879881855554,1.0589768877460737,1.203228258358745,2.241325776532688,True,3.3450834727784207,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2023-06-14,2023-06-20,207.6999969482422,216.00799682617188,9.664964253230163,80.296521836031,4.000000000000004,TP,-2.204130591069031,3.646624416601854,0.6044303825297627,1.3737536710266898,3.2184499116074683,True,2.204130591069031,> -4%,0.5 - 1 ATR,1.25 - 1.5x,> 20%,> 6%
CRM,Technology,2023-12-05,2023-12-12,249.9900054931641,256.45001220703125,8.094212991740235,52.28867027011294,2.584105993006913,TIME,-3.592306283804092,2.466630845823132,1.4563615345551697,1.7715817162449758,18.15013617687682,True,3.592306283804092,> -4%,1 - 1.5 ATR,1.5 - 2x,> 20%,> 6%
CRM,Technology,2024-02-14,2024-02-21,285.0,279.3,7.13659678709475,-40.67860168644,-1.999999999999991,SL,-2.147436054034335,1.9605697158468476,1.095312263918538,1.0020570411964196,4.531570881461855,False,2.147436054034335,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2024-03-06,2024-03-13,304.6499938964844,304.67999267578125,6.649579532481631,0.1994792688119336,0.0098469653365684,TIME,-5.050220540509498,2.8719678697511952,1.7584530083712284,1.364791370990633,6.462895019795978,True,5.050220540509498,> -4%,1.5 - 2 ATR,1.25 - 1.5x,> 20%,> 6%
CRM,Technology,2024-03-18,2024-03-21,299.6199951171875,311.604794921875,6.7613453469490015,81.03337039353912,4.000000000000004,TP,-2.9638733136201245,2.739636748805605,1.081849013345393,1.5765230696376946,2.5260671348771524,True,2.9638733136201245,> -4%,1 - 1.5 ATR,1.5 - 2x,> 20%,> 6%
CRM,Technology,2024-08-29,2024-08-30,271.010009765625,265.58980957031247,7.534928085066618,-40.840818678343965,-2.000000000000013,SL,-2.0060628560432114,1.9679434918775127,1.0193701517970573,2.166277409122829,2.175237346131831,False,2.0060628560432114,> -4%,1 - 1.5 ATR,> 2x,> 20%,> 6%
CRM,Technology,2024-11-15,2024-11-18,326.92999267578125,320.39139282226563,6.221126283138308,-40.67745540363032,-2.0000000000000018,SL,-2.946859208780972,2.8056684415819952,1.0503233971293362,1.4775413940465378,16.371603563888048,False,2.946859208780972,> -4%,1 - 1.5 ATR,1.25 - 1.5x,> 20%,> 6%
CRM,Technology,2024-11-29,2024-12-04,329.3399963378906,342.51359619140624,6.150899683081493,81.02949116403157,4.000000000000004,TP,-3.837631327942415,3.296219887726197,1.1642522218351443,1.1738865046651443,10.161822632086782,True,3.837631327942415,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2024-12-19,2024-12-20,341.70001220703125,334.86601196289064,5.975835833732464,-40.838863546671874,-1.999999999999991,SL,-3.914861722251517,3.355276135910384,1.1667778041729795,1.1031294732556765,5.303360475479524,False,3.914861722251517,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2025-01-31,2025-02-03,348.0,341.04,5.84418219719616,-40.67550809248515,-1.999999999999991,SL,-2.9463256146274763,3.128702333661572,0.941708510563018,1.2290015283390323,1.614320109040479,False,2.9463256146274763,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2025-05-22,2025-05-23,282.5,276.85,7.170408152232802,-40.51280606011517,-1.999999999999991,SL,-2.0065260113463657,2.0546970090638887,0.9765556685462498,1.1088396530320717,4.463571068430228,False,2.0065260113463657,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2025-05-27,2025-05-29,273.1700134277344,267.7066131591797,7.385648653297269,-40.3507548358747,-1.999999999999991,SL,-3.630656995768433,2.286717741960714,1.5877154093602202,1.6986184081018736,1.0757050099043486,False,3.630656995768433,> -4%,1.5 - 2 ATR,1.5 - 2x,> 20%,> 6%
CRM,Technology,2025-12-16,2025-12-22,254.0,264.16,7.911289727663656,80.37870363306294,4.000000000000004,TP,-2.9172897207681903,2.8360428545184684,1.0286479684608,1.112587200123912,3.4688778751882365,True,2.9172897207681903,> -4%,1 - 1.5 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2026-01-05,2026-01-07,253.6199951171875,263.764794921875,7.986528548812802,81.02173326212744,4.000000000000004,TP,-4.261827937355733,2.061014787619421,2.0678298685466325,1.188124401678981,1.4617148235534616,True,4.261827937355733,> -4%,> 2 ATR,1 - 1.25x,> 20%,> 6%
CRM,Technology,2026-06-03,2026-06-04,197.2700042724609,193.3246041870117,10.35001588678242,-40.83495356411217,-2.0000000000000018,SL,-4.179393850446111,4.7760131110888,0.8750800622264883,1.2481886046588666,10.83358910520551,False,4.179393850446111,> -4%,0.5 - 1 ATR,1 - 1.25x,> 20%,> 6%
