Ticker,Signal_Date,Entry_Date,exit_date,allocated_capital,pnl_pct,Score,Score_Level,Exit,exit_date_actual,pnl_dollars
MSFT,2021-12-16,2021-12-17,2021-12-23,2079.6944607782016,0.04,4,HIGH,TP,2021-12-23,83.18777843112807
JNJ,2021-12-17,2021-12-20,2021-12-28,2096.3320164644274,0.0151362787864601,5,HIGH,TIME,2021-12-28,31.730665830187636
PEP,2021-12-17,2021-12-20,2021-12-28,2096.3320164644274,0.0311080989843399,5,HIGH,TIME,2021-12-28,65.21290387221626
PFE,2021-12-21,2021-12-22,2021-12-28,2113.102672596143,-0.02,4,HIGH,SL,2021-12-28,-42.26205345192286
AMT,2022-01-03,2022-01-04,2022-01-05,2157.31408721869,-0.02,5,HIGH,SL,2022-01-05,-43.1462817443738
PLD,2022-01-03,2022-01-04,2022-01-04,2157.31408721869,-0.02,5,HIGH,SL,2022-01-05,-43.1462817443738
UNH,2022-01-04,2022-01-05,2022-01-06,2140.055574520941,-0.02,5,HIGH,SL,2022-01-06,-42.80111149041882
AMD,2022-01-04,2022-01-05,2022-01-05,2140.055574520941,-0.0200000000000001,4,HIGH,SL,2022-01-06,-42.80111149041903
PLD,2022-01-04,2022-01-05,2022-01-05,2140.055574520941,-0.02,4,HIGH,SL,2022-01-06,-42.80111149041882
COST,2022-01-05,2022-01-06,2022-01-07,2114.37490762669,-0.02,4,HIGH,SL,2022-01-07,-42.2874981525338
MS,2022-01-05,2022-01-06,2022-01-06,2114.37490762669,-0.02,4,HIGH,SL,2022-01-07,-42.2874981525338
LOW,2022-01-07,2022-01-10,2022-01-10,2097.459908365676,-0.02,4,HIGH,SL,2022-01-11,-41.94919816731352
V,2022-01-10,2022-01-11,2022-01-13,2089.0700687322133,0.04,4,HIGH,TP,2022-01-13,83.56280274928854
UPS,2022-01-10,2022-01-11,2022-01-14,2089.0700687322133,-0.02,5,HIGH,SL,2022-01-14,-41.78140137464427
