Ticker,Signal_Date,Entry_Date,exit_date,allocated_capital,pnl_pct,Score,Score_Level,Exit,exit_date_actual,pnl_dollars
MSFT,2024-01-31,2024-02-01,2024-02-08,2156.9293386727095,0.030560207717678,5,HIGH,TIME,2024-02-08,65.91620862219185
ADBE,2024-02-06,2024-02-07,2024-02-13,2191.171365435137,-0.02,4,HIGH,SL,2024-02-13,-43.82342730870274
XOM,2024-02-09,2024-02-12,2024-02-20,2204.354607159575,0.0151225114674158,5,HIGH,TIME,2024-02-20,33.335377825021524
MSFT,2024-02-13,2024-02-14,2024-02-20,2195.5899216978346,-0.0200000000000001,5,HIGH,SL,2024-02-20,-43.91179843395691
AMZN,2024-02-13,2024-02-14,2024-02-20,2195.5899216978346,-0.0199999999999999,4,HIGH,SL,2024-02-20,-43.91179843395647
CRM,2024-02-13,2024-02-14,2024-02-21,2186.825236236094,-0.0199999999999999,4,HIGH,SL,2024-02-21,-43.73650472472166
HD,2024-02-13,2024-02-14,2024-02-22,2195.589921697835,0.04,5,HIGH,TP,2024-02-22,87.82359686791341
LLY,2024-02-20,2024-02-21,2024-02-22,2175.944976944312,0.04,5,HIGH,TP,2024-02-22,87.03779907777249
MA,2024-02-20,2024-02-21,2024-02-22,2175.944976944312,0.04,4,HIGH,TP,2024-02-22,87.03779907777249
NVDA,2024-02-21,2024-02-22,2024-02-22,2228.324815949004,0.04,3,MEDIUM,TP,2024-02-23,89.13299263796016
MRK,2024-03-04,2024-03-05,2024-03-08,2246.1514144765965,-0.02,4,HIGH,SL,2024-03-08,-44.923028289531935
CVX,2024-03-04,2024-03-05,2024-03-12,2246.1514144765965,0.0205602837673002,4,HIGH,TIME,2024-03-12,46.18151046596155
ORCL,2024-03-05,2024-03-06,2024-03-12,2246.1514144765943,0.04,4,HIGH,TP,2024-03-12,89.84605657906377
LLY,2024-03-08,2024-03-11,2024-03-11,2201.2283861870646,-0.02,3,MEDIUM,SL,2024-03-12,-44.02456772374129
NFLX,2024-03-05,2024-03-06,2024-03-13,2246.1514144765965,0.0107132773468194,5,HIGH,TIME,2024-03-13,24.063643066238473
MSFT,2024-03-05,2024-03-06,2024-03-13,2246.151414476596,0.0301015891627078,4,HIGH,TIME,2024-03-13,67.6127270758095
NVDA,2024-03-11,2024-03-12,2024-03-12,2255.5674086829467,-0.02,3,MEDIUM,SL,2024-03-13,-45.11134817365893
AVGO,2024-03-13,2024-03-14,2024-03-15,2264.8804130766243,-0.02,3,MEDIUM,SL,2024-03-15,-45.29760826153249
AMD,2024-03-14,2024-03-15,2024-03-15,2255.8208914243182,0.04,3,MEDIUM,TP,2024-03-16,90.23283565697272
LLY,2024-03-11,2024-03-12,2024-03-19,2255.5674086829467,0.04,4,HIGH,TP,2024-03-19,90.22269634731786
GE,2024-03-14,2024-03-15,2024-03-19,2255.8208914243182,0.04,3,MEDIUM,TP,2024-03-19,90.23283565697272
BLK,2024-03-14,2024-03-15,2024-03-21,2255.8208914243182,0.04,4,HIGH,TP,2024-03-21,90.23283565697272
CRM,2024-03-15,2024-03-18,2024-03-21,2273.8674585557123,0.04,4,HIGH,TP,2024-03-21,90.9546983422285
AMZN,2024-03-15,2024-03-18,2024-03-25,2273.8674585557123,0.0222412036077053,5,HIGH,TIME,2024-03-25,50.57354912267299
V,2024-03-22,2024-03-25,2024-03-27,2356.3107815809453,-0.02,4,HIGH,SL,2024-03-27,-47.126215631618905
BLK,2024-03-22,2024-03-25,2024-04-02,2356.3107815809453,-0.0046925758839498,4,HIGH,TIME,2024-04-02,-11.057167148737648
GE,2024-03-28,2024-04-01,2024-04-02,2346.885538454622,-0.02,4,HIGH,SL,2024-04-02,-46.93771076909244
LLY,2024-04-01,2024-04-02,2024-04-03,2335.2865628710556,0.04,4,HIGH,TP,2024-04-03,93.41146251484223
GE,2024-04-02,2024-04-03,2024-04-03,2353.9688553740243,0.04,4,HIGH,TP,2024-04-04,94.15875421496098
DIS,2024-04-03,2024-04-04,2024-04-05,2372.8006062170166,-0.02,5,HIGH,SL,2024-04-05,-47.45601212434033
GOOGL,2024-04-04,2024-04-05,2024-04-09,2363.3094037921483,0.04,5,HIGH,TP,2024-04-09,94.53237615168594
