Window,Feature,Train_Start,Train_End,Test_Start,Test_End,Bucket,Train_Trades,Train_Avg,Test_Trades,Test_Avg,Test_Win_Rate
3,ATR_Pct,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,-0.18416236555461696,54,0.42438944684056334,46.2962962962963
3,ATR_Pct,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,-0.025512809696858384,43,0.2051577659874467,41.86046511627907
3,ATR_Pct,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,0.06985658717360568,44,-0.10164445816202548,31.818181818181817
3,ATR_Pct,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.010650152437284824,24,1.150958196823077,54.166666666666664
3,Drop_ATR_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,0.24010896543400032,26,0.07692307692307578,34.61538461538461
3,Drop_ATR_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,-0.1752475819990288,49,0.48744861477584045,44.89795918367347
3,Drop_ATR_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,-0.040359180754753754,42,0.19147561395177204,35.714285714285715
3,Drop_ATR_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,-0.1536706383208027,47,0.48007320766703954,51.06382978723404
3,Volume_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,-0.22818688100784526,44,0.15837242014181155,38.63636363636363
3,Volume_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,0.08190627467406128,45,-0.0028628705445394296,35.55555555555556
3,Volume_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,-0.11941531352039647,33,0.6414973799580272,48.484848484848484
3,Volume_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.13652748421359556,43,0.6251275297936052,48.837209302325576
3,Distance_SMA20,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,-0.09944335363481142,29,0.25846988255657616,41.37931034482759
3,Distance_SMA20,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,-0.34230043173877384,45,0.21415835387296506,40.0
3,Distance_SMA20,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,0.24307449790734606,50,0.4647670043251543,44.0
3,Distance_SMA20,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.06950085182565434,41,0.35410614382423183,43.90243902439025
3,Distance_SMA50,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,-0.29244662387774983,45,0.19294319198782803,40.0
3,Distance_SMA50,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,-0.23199123480496087,37,0.191002153734237,43.24324324324324
3,Distance_SMA50,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,0.2774097492070646,39,0.5188774437885503,41.02564102564102
3,Distance_SMA50,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.11785967383506125,44,0.42962979536597434,45.45454545454545
3,Distance_SMA200,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,0.03187530145037787,47,0.32897578457637056,42.5531914893617
3,Distance_SMA200,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,-0.4151455491691912,35,0.06083632953322454,40.0
3,Distance_SMA200,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,-0.09067883821157754,42,1.0193878484350318,54.761904761904766
3,Distance_SMA200,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.34478065028980603,41,-0.134535814915811,31.70731707317073
3,Return_3D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,0.1947103210818338,32,0.560221652830049,43.75
3,Return_3D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,-0.22451269883454905,53,0.1822819086079081,37.735849056603776
3,Return_3D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,-0.0028478636616406424,35,0.22519622663262598,42.857142857142854
3,Return_3D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,-0.09651819422622902,45,0.4315456145011723,46.666666666666664
3,Return_5D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,-0.10623678559042683,41,0.5843236397459244,46.34146341463415
3,Return_5D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,0.02539649644260484,42,0.03979826683890685,35.714285714285715
3,Return_5D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,-0.1286590810672072,38,-0.053198692178129225,36.84210526315789
3,Return_5D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.08033093457444435,44,0.7109592840324382,50.0
3,Return_10D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,177,-0.10828414232109423,24,0.142125705097403,37.5
3,Return_10D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,177,-0.19097584306451967,47,-0.03211060783926793,38.297872340425535
3,Return_10D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,0.07226851904131767,51,0.4087507383732522,41.17647058823529
3,Return_10D,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.0978230307037113,43,0.7474732237336609,51.162790697674424
3,SPY_Return,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,185,-0.719438639166344,3,-0.2320323569418399,33.33333333333333
3,SPY_Return,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,169,0.5066627112827403,45,0.47049364822958506,42.22222222222222
3,SPY_Return,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,177,-0.02795597625422509,53,0.3785029161556366,41.509433962264154
3,SPY_Return,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.16698047868703308,64,0.22426067149563766,43.75
3,SPY_Distance_SMA50,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,178,-0.1131268822589034,46,0.02447797636691782,36.95652173913043
3,SPY_Distance_SMA50,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,176,0.08674410852634058,31,0.45966654303309556,41.935483870967744
3,SPY_Distance_SMA50,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,178,0.12609430561374804,37,0.5752820417161472,48.64864864864865
3,SPY_Distance_SMA50,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,176,-0.22976123617148764,51,0.35741900668772036,43.13725490196079
3,SPY_Volume_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,1,178,0.10427686382685694,46,0.234167343541975,43.47826086956522
3,SPY_Volume_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,2,178,0.10433888692405947,79,0.4089242435166373,41.77215189873418
3,SPY_Volume_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,3,175,-0.4577186674795063,34,0.16377304242475,38.23529411764706
3,SPY_Volume_Ratio,2020-01-01,2023-01-01,2023-01-01,2024-01-01,4,177,0.11358389868286402,6,1.0407430247147764,66.66666666666666
4,Signal_Drop,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,0.16026104047889472,54,0.4929520296359012,46.2962962962963
4,Signal_Drop,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,-0.18101530404795446,39,0.8323816848389244,51.28205128205128
4,Signal_Drop,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,-0.05160069858399922,47,0.3132820294693089,48.93617021276596
4,Signal_Drop,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.2876230621044544,56,0.3093881249145508,42.857142857142854
4,ATR_Pct,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,-0.04473159644800128,53,0.759405525503332,52.83018867924528
4,ATR_Pct,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,-0.013539571528615825,63,0.1646399563551513,42.857142857142854
4,ATR_Pct,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,0.18097252281151632,34,0.6879982176110587,55.88235294117647
4,ATR_Pct,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.09408683153084604,46,0.37216383018482474,39.130434782608695
4,Drop_ATR_Ratio,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,0.1347001305097931,41,0.3864576992490519,41.46341463414634
4,Drop_ATR_Ratio,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,0.006342798833734649,44,-0.029523751024279735,40.909090909090914
4,Drop_ATR_Ratio,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,0.008826665181781695,58,0.7469352829839973,51.724137931034484
4,Drop_ATR_Ratio,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.06579345551605843,54,0.5789688639280446,50.0
4,Volume_Ratio,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,-0.23079924492085788,51,0.4029261680389632,45.09803921568628
4,Volume_Ratio,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,-0.052295231553219364,60,0.35032456361686504,45.0
4,Volume_Ratio,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,0.1685884574001597,44,0.4629554515933329,45.45454545454545
4,Volume_Ratio,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.331213263835667,41,0.7120374983469122,53.65853658536586
4,Distance_SMA20,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,-0.11080052940704453,44,0.7898681892633127,47.72727272727273
4,Distance_SMA20,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,-0.20302034599582394,54,0.694270894973728,50.0
4,Distance_SMA20,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,0.48819858672236344,46,0.24082866422288282,45.65217391304348
4,Distance_SMA20,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.04441848853586353,52,0.15017958613287283,44.230769230769226
4,Distance_SMA50,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,-0.19858118996421187,42,0.07295987760784524,40.476190476190474
4,Distance_SMA50,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,0.13653093199199656,53,1.1267117850126926,56.60377358490566
4,Distance_SMA50,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,0.008435341785026371,43,0.04026460065522614,41.86046511627907
4,Distance_SMA50,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.2692754085592971,59,0.41730285416868035,45.76271186440678
4,Distance_SMA200,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,0.1812095422832852,30,0.5793967639198017,50.0
4,Distance_SMA200,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,-0.35347878786819564,29,0.605779858107321,48.275862068965516
4,Distance_SMA200,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,0.2623536432815129,81,0.3750797810408546,45.67901234567901
4,Distance_SMA200,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.12723569141731278,56,0.4607375825413125,46.42857142857143
4,Return_3D,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,0.13400533144805887,52,0.32366399906602844,40.38461538461539
4,Return_3D,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,-0.22424990178865722,38,0.6474776486197327,47.368421052631575
4,Return_3D,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,0.007643071559568874,59,0.42208365277885346,49.152542372881356
4,Return_3D,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.29825681291636974,42,0.6855874184855572,54.761904761904766
4,Return_5D,2021-01-01,2024-01-01,2024-01-01,2025-01-01,1,153,-0.15858417917779524,47,0.26055267060904597,38.297872340425535
4,Return_5D,2021-01-01,2024-01-01,2024-01-01,2025-01-01,2,153,0.09194649894312684,56,0.7546465526976326,51.78571428571429
4,Return_5D,2021-01-01,2024-01-01,2024-01-01,2025-01-01,3,152,-0.12516077571992468,50,0.2032275801425205,44.0
4,Return_5D,2021-01-01,2024-01-01,2024-01-01,2025-01-01,4,153,0.4065857710881067,40,0.6616181053127614,55.00000000000001
