Group,Horizon,Result,N,Mean,Median,Win_Rate,Expectancy,Sum_Gains,Sum_Losses,Profit_Factor,Min,Max,Std,Year
BREAKOUT_A,3,NET,838,0.000708642960004953,0.0013877275569490477,0.5167064439140812,0.000708642960004953,10.068062802838522,-9.474220002354372,1.0626798618077877,-0.12069244443777527,0.1528738883872407,0.03131631270857778,2022
BREAKOUT_A,5,GROSS,838,0.0016854022490446568,0.0031071546717118537,0.535799522673031,0.0016854022490446568,13.087101658406883,-11.674734573707461,1.120976376446296,-0.14113350069524644,0.1768112354446314,0.039900316280358526,2022
BREAKOUT_A,5,NET,838,0.0016854022490446568,0.0031071546717118537,0.535799522673031,0.0016854022490446568,13.087101658406883,-11.674734573707461,1.120976376446296,-0.14113350069524644,0.1768112354446314,0.039900316280358526,2022
BREAKOUT_A,1,GROSS,1058,0.0009509849224919078,0.0004503519151116686,0.5245746691871456,0.0009509849224919078,5.883905259876931,-4.877763211880493,1.2062711952777523,-0.06397079019615326,0.09524103871371858,0.014510691168486398,2023
BREAKOUT_A,1,NET,1058,0.0009509849224919078,0.0004503519151116686,0.5245746691871456,0.0009509849224919078,5.883905259876931,-4.877763211880493,1.2062711952777523,-0.06397079019615326,0.09524103871371858,0.014510691168486398,2023
BREAKOUT_A,3,GROSS,1058,0.002081633241047073,0.00204562365459382,0.5368620037807184,0.002081633241047073,11.222085142388925,-9.019717173361123,1.244172619462203,-0.12171476017597971,0.1926656194684817,0.02766931362523384,2023
BREAKOUT_A,3,NET,1058,0.002081633241047073,0.00204562365459382,0.5368620037807184,0.002081633241047073,11.222085142388925,-9.019717173361123,1.244172619462203,-0.12171476017597971,0.1926656194684817,0.02766931362523384,2023
BREAKOUT_A,5,GROSS,1058,0.005832320923448619,0.003319213910775054,0.5614366729678639,0.005832320923448619,17.195739539587322,-11.025144002578685,1.5596838948829501,-0.11895639135043912,0.2734079686820161,0.038733994907235426,2023
BREAKOUT_A,5,NET,1058,0.005832320923448619,0.003319213910775054,0.5614366729678639,0.005832320923448619,17.195739539587322,-11.025144002578685,1.5596838948829501,-0.11895639135043912,0.2734079686820161,0.038733994907235426,2023
BREAKOUT_A,1,GROSS,989,-0.0008267333267941418,-0.0007475392406767201,0.46511627906976744,-0.0008267333267941418,4.522644647066744,-5.34028390726615,0.8468921738248969,-0.09402411780781983,0.07856252315166978,0.014511008769521203,2024
BREAKOUT_A,1,NET,989,-0.0008267333267941418,-0.0007475392406767201,0.46511627906976744,-0.0008267333267941418,4.522644647066744,-5.34028390726615,0.8468921738248969,-0.09402411780781983,0.07856252315166978,0.014511008769521203,2024
BREAKOUT_A,3,GROSS,989,0.0019600819244607807,0.0006855870476785153,0.5146612740141557,0.0019600819244607807,10.724102414610334,-8.785581391318622,1.2206480068817347,-0.15515022866899375,0.3817499039420691,0.030473539660975234,2024
BREAKOUT_A,3,NET,989,0.0019600819244607807,0.0006855870476785153,0.5146612740141557,0.0019600819244607807,10.724102414610334,-8.785581391318622,1.2206480068817347,-0.15515022866899375,0.3817499039420691,0.030473539660975234,2024
BREAKOUT_A,5,GROSS,989,0.003099837786644068,0.0020991845285946997,0.5399393326592518,0.003099837786644068,14.074346066539388,-11.008606495548403,1.2784857077261043,-0.16257863174561438,0.26243788339007645,0.036708692937335564,2024
BREAKOUT_A,5,NET,989,0.003099837786644068,0.0020991845285946997,0.5399393326592518,0.003099837786644068,14.074346066539388,-11.008606495548403,1.2784857077261043,-0.16257863174561438,0.26243788339007645,0.036708692937335564,2024
BREAKOUT_A,1,GROSS,841,0.00017347957963022507,0.0006169213282161135,0.5196195005945303,0.00017347957963022507,4.64488927669259,-4.49899295022357,1.0324286630548665,-0.08423184664752348,0.06766543935781977,0.015375994047058764,2025
BREAKOUT_A,1,NET,841,0.00017347957963022507,0.0006169213282161135,0.5196195005945303,0.00017347957963022507,4.64488927669259,-4.49899295022357,1.0324286630548665,-0.08423184664752348,0.06766543935781977,0.015375994047058764,2025
BREAKOUT_A,3,GROSS,841,0.0013423426823178884,0.0028077741076131257,0.549346016646849,0.0013423426823178884,9.90106664483815,-8.772156449008804,1.1286924375313558,-0.1536534607027158,0.23921961321274576,0.03135273002008281,2025
BREAKOUT_A,3,NET,841,0.0013423426823178884,0.0028077741076131257,0.549346016646849,0.0013423426823178884,9.90106664483815,-8.772156449008804,1.1286924375313558,-0.1536534607027158,0.23921961321274576,0.03135273002008281,2025
BREAKOUT_A,5,GROSS,841,0.0023239620364654155,0.003036379876535822,0.544589774078478,0.0023239620364654155,13.778486349593557,-11.824034276926145,1.1652948584969345,-0.2289105506191661,0.36448329847329863,0.043210870758080513,2025
BREAKOUT_A,5,NET,841,0.0023239620364654155,0.003036379876535822,0.544589774078478,0.0023239620364654155,13.778486349593557,-11.824034276926145,1.1652948584969345,-0.2289105506191661,0.36448329847329863,0.043210870758080513,2025
