ticker,cik,fiscal_quarter,fiscal_period_end,sec_filing_date,sec_acceptance_utc,accession_number,filing_url,primary_document,item_2_02_confirmed,filter_decision,filter_reason,filter_evidence,ambiguous,note
TSLA,0001318605,Q1,,2021-04-02,2021-04-02T12:38:07.000Z,0001564590-21-017443,https://www.sec.gov/Archives/edgar/data/1318605/000156459021017443/tsla-8k_20210402.htm,tsla-8k_20210402.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q2,,2021-07-02,2021-07-02T12:32:50.000Z,0000950170-21-000423,https://www.sec.gov/Archives/edgar/data/1318605/000095017021000423/tsla-20210702.htm,tsla-20210702.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q3,,2021-10-04,2021-10-04T10:09:14.000Z,0001564590-21-049874,https://www.sec.gov/Archives/edgar/data/1318605/000156459021049874/tsla-8k_20211002.htm,tsla-8k_20211002.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q4,,2022-01-03,2022-01-03T11:06:42.000Z,0001564590-22-000009,https://www.sec.gov/Archives/edgar/data/1318605/000156459022000009/tsla-8k_20220102.htm,tsla-8k_20220102.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q1,,2022-04-04,2022-04-04T10:07:24.000Z,0001564590-22-013264,https://www.sec.gov/Archives/edgar/data/1318605/000156459022013264/tsla-8k_20220402.htm,tsla-8k_20220402.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q2,,2022-07-05,2022-07-05T10:16:41.000Z,0001564590-22-025153,https://www.sec.gov/Archives/edgar/data/1318605/000156459022025153/tsla-8k_20220702.htm,tsla-8k_20220702.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q3,,2022-10-03,2022-10-03T10:05:40.000Z,0001564590-22-033053,https://www.sec.gov/Archives/edgar/data/1318605/000156459022033053/tsla-8k_20221002.htm,tsla-8k_20221002.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q4,2022-12-31,2023-01-03,2023-01-03T11:08:47.000Z,0001564590-23-000002,https://www.sec.gov/Archives/edgar/data/1318605/000156459023000002/tsla-8k_20230102.htm,tsla-8k_20230102.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q1,,2023-04-03,2023-04-03T11:02:44.000Z,0001564590-23-005126,https://www.sec.gov/Archives/edgar/data/1318605/000156459023005126/tsla-8k_20230402.htm,tsla-8k_20230402.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q2,,2023-07-03,2023-07-03T10:05:58.000Z,0000950170-23-031241,https://www.sec.gov/Archives/edgar/data/1318605/000095017023031241/tsla-20230702.htm,tsla-20230702.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q3,,2023-10-02,2023-10-02T13:05:38.000Z,0000950170-23-050938,https://www.sec.gov/Archives/edgar/data/1318605/000095017023050938/tsla-20231002.htm,tsla-20231002.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q4,,2024-01-02,2024-01-02T21:29:17.000Z,0000950170-24-000282,https://www.sec.gov/Archives/edgar/data/1318605/000095017024000282/tsla-20240102.htm,tsla-20240102.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q1,2024-03-31,2024-04-02,2024-04-02T20:47:22.000Z,0000950170-24-040274,https://www.sec.gov/Archives/edgar/data/1318605/000095017024040274/tsla-20240402.htm,tsla-20240402.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q2,2024-06-30,2024-07-02,2024-07-02T13:24:01.000Z,0001628280-24-030714,https://www.sec.gov/Archives/edgar/data/1318605/000162828024030714/tsla-20240702.htm,tsla-20240702.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q3,2024-09-30,2024-10-02,2024-10-02T13:06:34.000Z,0001628280-24-041816,https://www.sec.gov/Archives/edgar/data/1318605/000162828024041816/tsla-20241002.htm,tsla-20241002.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q4,2024-12-31,2025-01-02,2025-01-02T14:06:39.000Z,0001628280-25-000007,https://www.sec.gov/Archives/edgar/data/1318605/000162828025000007/tsla-20250102.htm,tsla-20250102.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q1,2025-03-31,2025-04-02,2025-04-02T13:05:22.000Z,0001628280-25-016070,https://www.sec.gov/Archives/edgar/data/1318605/000162828025016070/tsla-20250402.htm,tsla-20250402.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q2,2025-06-30,2025-07-02,2025-07-02T13:05:13.000Z,0001628280-25-033842,https://www.sec.gov/Archives/edgar/data/1318605/000162828025033842/tsla-20250702.htm,tsla-20250702.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
TSLA,0001318605,Q3,2025-09-30,2025-10-02,2025-10-02T13:04:54.000Z,0001628280-25-043530,https://www.sec.gov/Archives/edgar/data/1318605/000162828025043530/tsla-20251002.htm,tsla-20251002.htm,YES,EXCLUDE,OPERATIONAL_DELIVERIES,"Quarterly vehicle production/deliveries update, not financial earnings.",NO,"Quarterly vehicle production/deliveries update, not financial earnings."
XOM,0000034088,,,2018-02-09,2018-02-09T20:24:11.000Z,0000034088-18-000012,https://www.sec.gov/Archives/edgar/data/34088/000003408818000012/r8k020918.htm,r8k020918.htm,YES,EXCLUDE,NON_QUARTERLY_ITEM_202,Curated exclusion after filed-document review and secondary event-date cross-check.,NO,Curated exclusion after filed-document review and secondary event-date cross-check.
XOM,0000034088,,,2019-02-26,2019-02-26T21:54:04.000Z,0000034088-19-000007,https://www.sec.gov/Archives/edgar/data/34088/000003408819000007/r8k022619.htm,r8k022619.htm,YES,EXCLUDE,NON_QUARTERLY_ITEM_202,Curated exclusion after filed-document review and secondary event-date cross-check.,NO,Curated exclusion after filed-document review and secondary event-date cross-check.
