Group,Year,Horizon,Observations,Mean,Median,Positive_Fraction
A,2022,3,1333,-0.00018484797519028893,0.0012510832407715,0.5221305326331583
A,2022,5,1333,-0.0025768405894928672,0.0,0.4973743435858965
A,2023,1,1684,0.0013175759454000502,0.0013986612209715,0.5510688836104513
A,2023,3,1684,0.004089250536199897,0.00265684444215215,0.5510688836104513
A,2023,5,1684,0.005345050434565171,0.00311626911944265,0.5498812351543944
A,2024,1,1957,6.172556094455034e-05,0.0005192813433123,0.5201839550332141
A,2024,3,1957,0.002082189627044989,0.0019400133976752,0.5319366377107818
A,2024,5,1957,0.00346378928927047,0.0031364736149122,0.5385794583546244
A,2025,1,1486,0.0008011621220625051,0.0010106916875008498,0.5383580080753702
A,2025,3,1486,0.0023718263119276006,0.002939542760987,0.5423956931359354
A,2025,5,1486,0.005255688082786853,0.00566273029306315,0.5659488559892328
B,ALL,1,13601,0.00032982771281198656,0.0006944868299696,0.5237114918020733
B,ALL,3,13601,0.0023349532378632927,0.0025273841911064,0.5445923093890155
B,ALL,5,13601,0.003642804106858058,0.0038122970688827,0.5528269980148518
B,2018,1,1294,-0.0005522099872332862,0.00057051988959495,0.5154559505409583
B,2018,3,1294,0.00043724127899666344,0.00170895665551335,0.5378670788253478
B,2018,5,1294,0.0011409594053139634,0.0033265021934504,0.5525502318392581
B,2019,1,1996,0.0008281491871796646,0.0009875474544006999,0.5445891783567134
B,2019,3,1996,0.002740732062230277,0.00380992002890085,0.5841683366733467
B,2019,5,1996,0.00498183361117877,0.00584115973137515,0.6087174348697395
B,2020,1,1974,0.0005850140454146928,0.00044176167541745,0.5121580547112462
B,2020,3,1974,0.004920951227637161,0.00355674064521765,0.5536980749746707
B,2020,5,1974,0.007334323426822309,0.006102982820268299,0.5709219858156028
B,2021,1,1962,-0.0006914014824575458,-0.0001385367559168,0.49133537206931704
B,2021,3,1962,0.0010230642044535153,0.0013795722175311501,0.5234454638124363
B,2021,5,1962,0.001868876827220083,0.00190803132694675,0.5234454638124363
B,2022,1,1318,0.0003196457315299805,0.0006470321989071001,0.5189681335356601
B,2022,3,1318,-0.00034702114932045155,0.0011676120484934,0.5212443095599393
B,2022,5,1318,-0.002770150728024159,-0.00015049131929070774,0.4946889226100152
B,2023,1,1663,0.0012514169108579873,0.0013921317949978,0.5514131088394468
B,2023,3,1663,0.004155013771452734,0.0026947573730726,0.5526157546602526
B,2023,5,1663,0.005453177230389914,0.0031349823315036,0.5514131088394468
B,2024,1,1937,2.3365078551199786e-05,0.0004862879832427,0.5193598347960764
B,2024,3,1937,0.002091203797403849,0.0017974708696926,0.5307176045431079
B,2024,5,1937,0.0034671394607658592,0.0031364736149122,0.5369127516778524
B,2025,1,1457,0.0008247186662259239,0.0010740452790134,0.5401509951956074
B,2025,3,1457,0.0024002210719004653,0.0029574826485325,0.5428963623884695
B,2025,5,1457,0.005386082573320697,0.0057202094908705,0.5669183253260124
