Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Margin,PnL,Return,Hold_Days
NFLX,2022-11-29,2022-12-01,28.235875,31.71084719467163,44.018918353551406,1242.9126762660833,-154.28391225303693,-0.12413093469810889,3
META,2022-11-29,2022-12-01,109.4852309150696,120.50022244262694,11.352331870498967,1242.9126762660833,-126.35127496751717,-0.1016574031146721,3
COP,2022-11-29,2022-12-01,125.75708969497681,123.12152755737306,9.883440204291954,1242.9126762660833,24.818532325832376,0.01996804184216013,3
NVDA,2022-11-30,2022-12-02,15.689151050090793,16.884437450408935,79.43260336055695,1246.2301124257276,-96.238413006434,-0.07722362992747023,3
CRM,2022-12-02,2022-12-06,144.21784828948975,133.33663927459716,8.159072082009086,1176.6838197061977,87.64827515655547,0.07448753325973334,3
TSLA,2022-12-06,2022-12-08,181.12939122009277,173.52672244262695,6.580808539235431,1191.9778444477015,48.86474562108384,0.04099467607447447,3
AMD,2022-12-06,2022-12-08,73.04346183013917,70.50523622131347,16.31874796979937,1191.9778444477015,40.24939648846989,0.033766899842940706,3
AMZN,2022-12-06,2022-12-08,90.45475,90.39517347335816,13.177614712855892,1191.9778444477015,-0.4065087921742234,-0.0003410372047330945,3
DIS,2022-12-06,2022-12-08,95.68213835525513,92.59627805328367,12.457684003905152,1191.9778444477015,37.269916013969215,0.031267289226535995,3
CRM,2022-12-07,2022-12-09,132.43375,131.17555561065674,9.143853134195238,1210.9547600107287,10.29954232276771,0.00850530726901512,3
TSLA,2022-12-09,2022-12-13,173.7530763397217,161.0304719467163,6.987744858744014,1214.1421658838465,87.73262242789225,0.07225893712704265,3
AMD,2022-12-09,2022-12-13,69.45525286483765,71.68582652664185,17.480926435421804,1214.1421658838465,-40.2261325037179,-0.03313131990143419,3
COP,2022-12-09,2022-12-13,112.35379866027833,113.46670866394042,10.806418477714502,1214.1421658838465,-13.246726679105016,-0.010910358812439343,3
DIS,2022-12-09,2022-12-13,92.32381774520876,94.74734694671632,13.150909435250858,1214.1421658838465,-33.101691015116984,-0.027263439113837454,3
