Group,Direction,Year,Horizon,N,Action_Mean,Action_Median,Directional_Win_Rate,Directional_Mean
BASELINE_SHORT,SHORT,2024,1,11844,5.658000955855598e-05,0.00033216021743720514,0.48606889564336375,-5.658000955855598e-05
BASELINE_SHORT,SHORT,2024,3,11844,0.0016797026605448507,0.0015220600437770848,0.4716312056737589,-0.0016797026605448507
BASELINE_SHORT,SHORT,2024,5,11844,0.003373865935930645,0.0029146526199070877,0.45778453225261734,-0.003373865935930645
BASELINE_SHORT,SHORT,2025,1,11233,0.0003970419049604079,0.0005282612018913113,0.48108252470399715,-0.0003970419049604079
BASELINE_SHORT,SHORT,2025,3,11233,0.0017273952911770426,0.001887668318182767,0.4696875278198166,-0.0017273952911770426
BASELINE_SHORT,SHORT,2025,5,11233,0.003057115631586668,0.003987106862942014,0.45179382177512684,-0.003057115631586668
A_GAP_UP,LONG,ALL,1,3118,0.0007018994925284544,0.0002683573330917177,0.5038486209108403,0.0007018994925284544
A_GAP_UP,LONG,ALL,3,3118,0.0018451462310835358,-0.00011720369795686914,0.49807568954457987,0.0018451462310835358
A_GAP_UP,LONG,ALL,5,3118,0.002660666195187734,0.0038948116083526996,0.5282232200128287,0.002660666195187734
A_GAP_UP,LONG,2018,1,262,-0.0017446206570457502,0.0005177207845575849,0.5038167938931297,-0.0017446206570457502
A_GAP_UP,LONG,2018,3,262,-0.004566454474427515,-0.0069787010259330096,0.44274809160305345,-0.004566454474427515
A_GAP_UP,LONG,2018,5,262,-0.009466576356568815,-0.011493366807857064,0.4351145038167939,-0.009466576356568815
A_GAP_UP,LONG,2019,1,183,0.0010513887394929637,-0.0003447166081673725,0.4808743169398907,0.0010513887394929637
A_GAP_UP,LONG,2019,3,183,0.007649852993309036,0.006103290369343428,0.5355191256830601,0.007649852993309036
A_GAP_UP,LONG,2019,5,183,0.008851757496315412,0.007864107983648783,0.546448087431694,0.008851757496315412
A_GAP_UP,LONG,2020,1,1012,0.004305909137572063,0.002560359644528054,0.5434782608695652,0.004305909137572063
A_GAP_UP,LONG,2020,3,1012,0.002711951749094193,-0.003162942289719306,0.4743083003952569,0.002711951749094193
A_GAP_UP,LONG,2020,5,1012,-0.0010068924634792232,-0.004831696296796251,0.4772727272727273,-0.0010068924634792232
A_GAP_UP,LONG,2021,1,225,0.0032424334785434716,0.0030604703752477036,0.5377777777777778,0.0032424334785434716
A_GAP_UP,LONG,2021,3,225,0.008455443133352426,0.006593362301967609,0.5733333333333334,0.008455443133352426
A_GAP_UP,LONG,2021,5,225,0.011988525804486703,0.008887399416427133,0.6088888888888889,0.011988525804486703
A_GAP_UP,LONG,2022,1,527,0.00031543966408126745,-0.0012162029878277636,0.4838709677419355,0.00031543966408126745
A_GAP_UP,LONG,2022,3,527,-0.004317084501660263,-0.005559911203462886,0.46110056925996207,-0.004317084501660263
A_GAP_UP,LONG,2022,5,527,0.0020517427718580203,0.006742630619153145,0.5597722960151803,0.0020517427718580203
A_GAP_UP,LONG,2023,1,237,0.0034049502229222886,0.0028028845386161017,0.5611814345991561,0.0034049502229222886
A_GAP_UP,LONG,2023,3,237,0.006176191654965102,0.004098008070405612,0.5654008438818565,0.006176191654965102
A_GAP_UP,LONG,2023,5,237,0.012984194853793004,0.007803115428711926,0.5611814345991561,0.012984194853793004
A_GAP_UP,LONG,2024,1,284,-0.0015281157843947475,-6.078096157641211e-05,0.5,-0.0015281157843947475
A_GAP_UP,LONG,2024,3,284,0.0019446714503045467,0.0026793030266976103,0.5316901408450704,0.0019446714503045467
A_GAP_UP,LONG,2024,5,284,0.004405362497885763,0.006148511575709836,0.5563380281690141,0.004405362497885763
A_GAP_UP,LONG,2025,1,388,-0.008178204928886641,-0.005796808387928176,0.3865979381443299,-0.008178204928886641
A_GAP_UP,LONG,2025,3,388,0.0029941841912810266,0.002818889251492984,0.520618556701031,0.0029941841912810266
A_GAP_UP,LONG,2025,5,388,0.0053305151461455,0.011150217170432963,0.5850515463917526,0.0053305151461455
B_GAP_DOWN,SHORT,ALL,1,3011,0.0009230914571294698,0.0,0.4981733643307871,-0.0009230914571294698
B_GAP_DOWN,SHORT,ALL,3,3011,0.0012090293141365346,0.0022457393215553623,0.4769179674526735,-0.0012090293141365346
B_GAP_DOWN,SHORT,ALL,5,3011,0.0034676031704797853,0.005135235946029271,0.46496180670873466,-0.0034676031704797853
B_GAP_DOWN,SHORT,2018,1,250,0.013913489540570647,0.010071717530030999,0.324,-0.013913489540570647
B_GAP_DOWN,SHORT,2018,3,250,0.002483026819429403,0.004379691271570785,0.448,-0.002483026819429403
B_GAP_DOWN,SHORT,2018,5,250,0.008889345947633426,0.006293844921107072,0.432,-0.008889345947633426
B_GAP_DOWN,SHORT,2019,1,205,-0.0010944571860438397,-0.001497536779526798,0.5219512195121951,0.0010944571860438397
B_GAP_DOWN,SHORT,2019,3,205,0.00656745015478535,0.007073087826652058,0.4146341463414634,-0.00656745015478535
B_GAP_DOWN,SHORT,2019,5,205,0.009968140576579328,0.007033075294804236,0.4,-0.009968140576579328
B_GAP_DOWN,SHORT,2020,1,906,-0.0027121640924589077,-0.0027402725328213307,0.5386313465783664,0.0027121640924589077
B_GAP_DOWN,SHORT,2020,3,906,-0.005461240386520235,0.0005819291549628014,0.49448123620309054,0.005461240386520235
B_GAP_DOWN,SHORT,2020,5,906,-0.006599823976862498,-0.0003910047777986314,0.5033112582781457,0.006599823976862498
B_GAP_DOWN,SHORT,2021,1,224,0.00012715181148426614,-0.0007569960030106571,0.5223214285714286,-0.00012715181148426614
B_GAP_DOWN,SHORT,2021,3,224,0.006427720948449197,0.00545635603334893,0.44642857142857145,-0.006427720948449197
B_GAP_DOWN,SHORT,2021,5,224,0.006762034409978301,0.010358099565692447,0.4017857142857143,-0.006762034409978301
B_GAP_DOWN,SHORT,2022,1,586,0.0011325252826626653,-0.0011212540866988308,0.5221843003412969,-0.0011325252826626653
B_GAP_DOWN,SHORT,2022,3,586,0.001421339416161541,0.00020046425856024008,0.4931740614334471,-0.001421339416161541
