Horizon,Ticker,N,Mean,Median,Contribution_Sum
3,LLY,41,0.009986325040536405,0.014204908175518893,0.40943932666199256
3,META,97,0.0041426269677869235,-0.002717017977879821,0.40183481587533154
3,CAT,76,0.005162065244763793,0.012344221892314544,0.3923169586020483
3,AMT,22,0.015480986872830494,0.007020347854145181,0.3405817112022709
3,GOOGL,64,0.00478520389188474,0.0011883976520998818,0.30625304908062334
3,WMT,28,0.010471367617903654,0.008455969264103302,0.2931982933013023
3,MA,57,0.004619600833152405,0.0054497289909887225,0.2633172474896871
3,MCD,33,0.006795403116130721,0.006647085688585852,0.22424830283231378
3,ORCL,59,0.003346559856822803,-0.005116786169800491,0.1974470315525454
3,UNH,49,0.0038982138306964467,0.00615428119152317,0.19101247770412588
3,COST,27,0.006428139060406759,0.007430193169513988,0.1735597546309825
3,CRM,93,0.0010569568479937912,0.0004474625765360507,0.09829698686342259
3,JNJ,21,0.004420620506602276,0.0012964889948603453,0.09283303063864778
3,COP,96,0.0006420182114788264,0.007040967478570526,0.06163374830196733
3,MRK,30,0.002050279438764065,0.004974522981883167,0.061508383162921954
3,HON,37,0.0016218338358863515,-0.006422683621355563,0.06000785192779501
3,PFE,38,-0.0010599200670633644,-0.0019799403291008155,-0.040276962548407846
3,PEP,15,-0.004442940713066501,0.007116735119551576,-0.06664411069599752
3,PLD,37,-0.0021170432974597433,0.004579820731059225,-0.0783306020060105
3,KO,15,-0.005536425548183299,0.003073964452591005,-0.08304638322274949
3,BLK,55,-0.0015184605216056225,-0.0003331964339438054,-0.08351532868830924
3,NEE,31,-0.005294303699629856,-0.006614144392839583,-0.16412341468852554
3,DUK,11,-0.016568589435005044,-0.024384003728533776,-0.1822544837850555
3,BAC,73,-0.00256706853668138,-0.004517478793769292,-0.18739600317774074
3,ABBV,39,-0.006046133717684747,-0.0010397634912412412,-0.23579921498970513
3,MS,80,-0.003164729159798876,0.0005546512309941853,-0.2531783327839101
3,GS,67,-0.0037956730952009832,-0.00757958588308294,-0.2543100973784659
3,LOW,53,-0.005710997032665631,0.003929890645347989,-0.30268284273127843
3,HD,44,-0.008230439784716482,-0.0033623111047248466,-0.3621393505275252
3,XOM,76,-0.005195949796256775,0.004087435104773052,-0.3948921845155149
3,DIS,53,-0.007730624109354826,-0.012942841388113191,-0.40972307779580575
3,UPS,49,-0.010041766286439513,-0.011200571360797662,-0.49204654803553616
3,JPM,62,-0.00843991922888215,-0.010831704596565739,-0.5232749921906933
3,AVGO,99,-0.005507082764570584,-0.0001328822145085784,-0.5452011936924878
3,ADBE,75,-0.007391486529013644,-0.006469734873428057,-0.5543614896760233
3,GE,80,-0.007644108652580975,-0.005343942955293057,-0.611528692206478
3,CVX,65,-0.009957162434895422,0.003274961661960729,-0.6472155582682024
3,BA,104,-0.009485071396867438,0.0006356558097536658,-0.9864474252742136
5,TSLA,222,0.012672499964559294,0.010123414952396548,2.813294992132163
5,NVDA,159,0.017439148708526104,0.013581131993967599,2.7728246446556506
5,AMD,161,0.011780946699360022,0.007487072348027368,1.8967324185969636
5,NFLX,77,0.014014944441783073,0.0011722014274684334,1.0791507220172967
5,AMZN,85,0.010728526612304487,0.011707099459396186,0.9119247620458815
5,AAPL,78,0.010259933551355897,0.007664139378878998,0.80027481700576
5,LLY,41,0.017675181100500988,0.009467748977575186,0.7246824251205405
5,V,49,0.01312992965719443,0.02514673768493969,0.643366553202527
5,AVGO,99,0.006350132858553058,0.008995174270396644,0.6286631529967528
5,WMT,28,0.019547075728592454,0.005791940797587158,0.5473181204005887
5,MSFT,52,0.009632917437265437,0.006530979225028655,0.5009117067378027
5,MA,57,0.008048611859742734,0.018905697228773555,0.45877087600533584
5,CRM,93,0.004840884338750346,0.008321821742861113,0.45020224350378213
5,CAT,76,0.005503190130852935,0.013830846000803088,0.41824244994482307
5,GOOGL,64,0.006247554282258703,0.011211335873516193,0.399843474064557
5,COP,96,0.004096860766564064,0.0054959197394899295,0.39329863359015016
5,UNH,49,0.007571991131303949,0.013250499133484084,0.3710275654338935
5,AMT,22,0.016101692977954232,0.021463138713255114,0.35423724551499314
5,NKE,77,0.004285047978333018,0.0030811421500340774,0.3299486943316424
5,ORCL,59,0.005333065369479858,0.0021356554296994013,0.3146508567993116
5,COST,27,0.008583592307870256,0.020374942435928967,0.2317569923124969
5,BAC,73,0.002966513014594893,0.00372092668400259,0.2165554500654272
5,PLD,37,0.003955793561265003,0.011655985446091588,0.14636436176680512
5,MRK,30,0.002428583629993734,0.003038880982991765,0.07285750889981202
5,MCD,33,0.0006793435397797602,0.010617504822719726,0.022418336812732087
5,JNJ,21,-0.001242736367811909,-0.00383056836538076,-0.026097463724050085
5,BLK,55,-0.0006605950981632565,0.0069177661339043794,-0.03633273039897911
5,PEP,15,-0.009820999924870451,-0.009664212284374973,-0.14731499887305677
5,UPS,49,-0.0036808487148305446,-0.003761942834476839,-0.1803615870266967
5,ABBV,39,-0.005202552959511257,-0.00883023535484817,-0.202899565420939
5,META,97,-0.0021597248691036003,-0.0007729895120951458,-0.20949331230304924
5,GS,67,-0.0031353338149011792,0.0028315718455980132,-0.21006736559837902
5,ADBE,75,-0.003049223523944735,0.0031700463381270083,-0.22869176429585514
5,HON,37,-0.006376287259238403,-0.009036655427131945,-0.2359226285918209
5,LOW,53,-0.00446265244553794,0.010487116510341954,-0.2365205796135108
5,JPM,62,-0.004075918381237792,-0.003609042864640477,-0.25270693963674307
5,NEE,31,-0.010321723052390444,-0.012101783262423393,-0.3199734146241038
5,MS,80,-0.004464088443562396,0.004324522934275876,-0.3571270754849917
5,PFE,38,-0.00979529110259571,-0.013457440283104527,-0.372221061898637
5,DIS,53,-0.007064162027522915,-0.007825990447144493,-0.3744005874587145
5,KO,15,-0.025438546529629878,-0.021346474858587428,-0.38157819794444814
5,DUK,11,-0.03710923175583505,-0.07285701322996396,-0.4082015493141855
5,HD,44,-0.010244154348687624,0.0005121139738460956,-0.4507427913422555
5,CVX,65,-0.008100694931748736,0.007797847155629478,-0.5265451705636678
5,XOM,76,-0.0074501392258333075,-0.0007883776846177581,-0.5662105811633313
5,BA,104,-0.005925345454223853,0.010455110320284344,-0.6162359272392808
5,GE,80,-0.008984007064079496,-0.0010994635947577658,-0.7187205651263596
